,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,3.0,3.0,3.0,0.03,False,83,0,83
1,,,,,,,218,144,74
2,,,,,,,521,486,35
3,,,,,,,805,777,28
4,,,,,,,560,555,5
5,,,,,,,261,256,5
6,,,,,,,101,93,8
7,,,,,,,36,12,24
8,,,,,,,67,16,51
9,,,,,,,195,130,65
10,,,,,,,465,420,45
11,,,,,,,703,673,30
12,,,,,,,586,573,13
13,,,,,,,312,304,8
14,,,,,,,168,163,5
15,,,,,,,56,42,14
16,,,,,,,56,19,37
17,,,,,,,164,107,57
18,,,,,,,333,282,51
19,,,,,,,476,433,43
20,,,,,,,613,582,31
21,,,,,,,516,499,17
22,,,,,,,255,246,9
23,,,,,,,125,118,7
24,,,,,,,73,32,41
25,,,,,,,82,34,48
26,,,,,,,262,200,62
27,,,,,,,547,503,44
28,,,,,,,669,643,26
29,,,,,,,525,516,9
30,,,,,,,255,250,5
31,,,,,,,108,96,12
32,,,,,,,58,36,22
33,,,,,,,85,34,51
34,,,,,,,160,103,57
35,,,,,,,293,236,57
36,,,,,,,458,417,41
37,,,,,,,508,479,29
38,,,,,,,468,452,16
39,,,,,,,304,289,15
40,,,,,,,213,196,17
41,,,,,,,169,144,25
42,,,,,,,141,108,33
43,,,,,,,209,170,39
44,,,,,,,296,257,39
45,,,,,,,418,388,30
46,,,,,,,438,417,21
47,,,,,,,419,391,28
48,,,,,,,379,366,13
49,,,,,,,218,202,16
50,,,,,,,135,109,26
51,,,,,,,167,127,40
52,,,,,,,324,285,39
53,,,,,,,462,422,40
54,,,,,,,491,463,28
55,,,,,,,386,364,22
56,,,,,,,308,295,13
57,,,,,,,197,180,17
58,,,,,,,152,117,35
59,,,,,,,164,120,44
60,,,,,,,308,266,42
61,,,,,,,442,414,28
62,,,,,,,473,448,25
63,,,,,,,340,315,25
64,,,,,,,307,284,23
65,,,,,,,293,274,19
66,,,,,,,203,170,33
67,,,,,,,129,95,34
68,,,,,,,203,160,43
69,,,,,,,357,320,37
70,,,,,,,530,498,32
71,,,,,,,559,539,20
72,,,,,,,404,390,14
73,,,,,,,227,218,9
74,,,,,,,169,148,21
75,,,,,,,174,146,28
76,,,,,,,195,157,38
77,,,,,,,296,251,45
78,,,,,,,368,326,42
79,,,,,,,441,409,32
80,,,,,,,461,446,15
81,,,,,,,368,356,12
82,,,,,,,247,231,16
83,,,,,,,162,140,22
84,,,,,,,177,155,22
85,,,,,,,262,219,43
86,,,,,,,413,377,36
87,,,,,,,556,526,30
88,,,,,,,552,534,18
89,,,,,,,428,420,8
90,,,,,,,306,300,6
91,,,,,,,221,210,11
92,,,,,,,235,216,19
93,,,,,,,287,260,27
94,,,,,,,351,330,21
95,,,,,,,428,397,31
96,,,,,,,502,479,23
97,,,,,,,534,522,12
98,,,,,,,502,500,2
99,,,,,,,413,409,4
100,,,,,,,311,307,4
101,,,,,,,322,311,11
102,,,,,,,388,373,15
103,,,,,,,498,477,21
104,,,,,,,565,549,16
105,,,,,,,548,542,6
106,,,,,,,459,458,1
107,,,,,,,402,400,2
108,,,,,,,420,416,4
109,,,,,,,449,443,6
110,,,,,,,458,449,9
111,,,,,,,507,500,7
112,,,,,,,524,519,5
113,,,,,,,538,538,0
114,,,,,,,467,466,1
115,,,,,,,445,444,1
116,,,,,,,491,490,1
117,,,,,,,484,482,2
118,,,,,,,531,530,1
119,,,,,,,490,487,3
120,,,,,,,476,476,0
121,,,,,,,509,509,0
122,,,,,,,490,490,0
123,,,,,,,531,531,0
124,,,,,,,487,487,0
125,,,,,,,475,474,1
126,,,,,,,512,512,0
127,,,,,,,493,493,0
128,,,,,,,533,533,0
129,,,,,,,487,487,0
130,,,,,,,474,474,0
131,,,,,,,512,512,0
132,,,,,,,494,494,0
133,,,,,,,533,533,0
134,,,,,,,487,487,0
135,,,,,,,474,474,0
136,,,,,,,512,512,0
137,,,,,,,494,494,0
138,,,,,,,533,533,0
139,,,,,,,487,487,0
140,,,,,,,474,474,0
141,,,,,,,512,512,0
142,,,,,,,494,494,0
143,,,,,,,533,533,0
144,,,,,,,487,487,0
145,,,,,,,474,474,0
146,,,,,,,512,512,0
147,,,,,,,494,494,0
148,,,,,,,533,533,0
149,,,,,,,487,487,0
150,,,,,,,474,474,0
151,,,,,,,512,512,0
152,,,,,,,494,494,0
153,,,,,,,533,533,0
154,,,,,,,487,487,0
155,,,,,,,474,474,0
156,,,,,,,512,512,0
157,,,,,,,494,494,0
158,,,,,,,533,533,0
159,,,,,,,487,487,0
160,,,,,,,474,474,0
161,,,,,,,512,512,0
162,,,,,,,494,494,0
163,,,,,,,533,533,0
164,,,,,,,487,487,0
165,,,,,,,474,474,0
166,,,,,,,512,512,0
167,,,,,,,494,494,0
168,,,,,,,533,533,0
169,,,,,,,487,487,0
170,,,,,,,474,474,0
171,,,,,,,512,512,0
172,,,,,,,494,494,0
173,,,,,,,533,533,0
174,,,,,,,487,487,0
175,,,,,,,474,474,0
176,,,,,,,512,512,0
177,,,,,,,494,494,0
178,,,,,,,533,533,0
179,,,,,,,487,487,0
180,,,,,,,474,474,0
181,,,,,,,512,512,0
182,,,,,,,494,494,0
183,,,,,,,533,533,0
184,,,,,,,487,487,0
185,,,,,,,474,474,0
186,,,,,,,512,512,0
187,,,,,,,494,494,0
188,,,,,,,533,533,0
189,,,,,,,487,487,0
190,,,,,,,474,474,0
191,,,,,,,512,512,0
192,,,,,,,494,494,0
193,,,,,,,533,533,0
194,,,,,,,487,487,0
195,,,,,,,474,474,0
196,,,,,,,512,512,0
197,,,,,,,494,494,0
198,,,,,,,533,533,0
199,,,,,,,487,487,0
200,,,,,,,474,474,0
201,,,,,,,512,512,0
202,,,,,,,494,494,0
203,,,,,,,533,533,0
204,,,,,,,487,487,0
205,,,,,,,474,474,0
206,,,,,,,512,512,0
207,,,,,,,494,494,0
208,,,,,,,533,533,0
209,,,,,,,487,487,0
210,,,,,,,474,474,0
211,,,,,,,512,512,0
212,,,,,,,494,494,0
213,,,,,,,533,533,0
214,,,,,,,487,487,0
215,,,,,,,474,474,0
216,,,,,,,512,512,0
217,,,,,,,494,494,0
218,,,,,,,533,533,0
219,,,,,,,487,487,0
220,,,,,,,474,474,0
221,,,,,,,512,512,0
222,,,,,,,494,494,0
223,,,,,,,533,533,0
224,,,,,,,487,487,0
225,,,,,,,474,474,0
226,,,,,,,512,512,0
227,,,,,,,494,494,0
228,,,,,,,533,533,0
229,,,,,,,487,487,0
230,,,,,,,474,474,0
231,,,,,,,512,512,0
232,,,,,,,494,494,0
233,,,,,,,533,533,0
234,,,,,,,487,487,0
235,,,,,,,474,474,0
236,,,,,,,512,512,0
237,,,,,,,494,494,0
238,,,,,,,533,533,0
239,,,,,,,487,487,0
240,,,,,,,474,474,0
241,,,,,,,512,512,0
242,,,,,,,494,494,0
243,,,,,,,533,533,0
244,,,,,,,487,487,0
245,,,,,,,474,474,0
246,,,,,,,512,512,0
247,,,,,,,494,494,0
248,,,,,,,533,533,0
249,,,,,,,487,487,0
250,,,,,,,474,474,0
251,,,,,,,512,512,0
252,,,,,,,494,494,0
253,,,,,,,533,533,0
254,,,,,,,487,487,0
255,,,,,,,474,474,0
256,,,,,,,512,512,0
257,,,,,,,494,494,0
258,,,,,,,533,533,0
259,,,,,,,487,487,0
260,,,,,,,474,474,0
261,,,,,,,512,512,0
262,,,,,,,494,494,0
263,,,,,,,533,533,0
264,,,,,,,487,487,0
265,,,,,,,474,474,0
266,,,,,,,512,512,0
267,,,,,,,494,494,0
268,,,,,,,533,533,0
269,,,,,,,487,487,0
270,,,,,,,474,474,0
271,,,,,,,512,512,0
272,,,,,,,494,494,0
273,,,,,,,533,533,0
274,,,,,,,487,487,0
275,,,,,,,474,474,0
276,,,,,,,512,512,0
277,,,,,,,494,494,0
278,,,,,,,533,533,0
279,,,,,,,487,487,0
280,,,,,,,474,474,0
281,,,,,,,512,512,0
282,,,,,,,494,494,0
283,,,,,,,533,533,0
284,,,,,,,487,487,0
285,,,,,,,474,474,0
286,,,,,,,512,512,0
287,,,,,,,494,494,0
288,,,,,,,533,533,0
289,,,,,,,487,487,0
290,,,,,,,474,474,0
291,,,,,,,512,512,0
292,,,,,,,494,494,0
293,,,,,,,533,533,0
294,,,,,,,487,487,0
295,,,,,,,474,474,0
296,,,,,,,512,512,0
297,,,,,,,494,494,0
298,,,,,,,533,533,0
299,,,,,,,487,487,0
300,,,,,,,474,474,0
301,,,,,,,512,512,0
302,,,,,,,494,494,0
303,,,,,,,533,533,0
304,,,,,,,487,487,0
305,,,,,,,474,474,0
306,,,,,,,512,512,0
307,,,,,,,494,494,0
308,,,,,,,533,533,0
309,,,,,,,487,487,0
310,,,,,,,474,474,0
311,,,,,,,512,512,0
312,,,,,,,494,494,0
313,,,,,,,533,533,0
314,,,,,,,487,487,0
315,,,,,,,474,474,0
316,,,,,,,512,512,0
317,,,,,,,494,494,0
318,,,,,,,533,533,0
319,,,,,,,487,487,0
320,,,,,,,474,474,0
321,,,,,,,512,512,0
322,,,,,,,494,494,0
323,,,,,,,533,533,0
324,,,,,,,487,487,0
325,,,,,,,474,474,0
326,,,,,,,512,512,0
327,,,,,,,494,494,0
328,,,,,,,533,533,0
329,,,,,,,487,487,0
330,,,,,,,474,474,0
331,,,,,,,512,512,0
332,,,,,,,494,494,0
333,,,,,,,533,533,0
334,,,,,,,487,487,0
335,,,,,,,474,474,0
336,,,,,,,512,512,0
337,,,,,,,494,494,0
338,,,,,,,533,533,0
339,,,,,,,487,487,0
340,,,,,,,474,474,0
341,,,,,,,512,512,0
342,,,,,,,494,494,0
343,,,,,,,533,533,0
344,,,,,,,487,487,0
345,,,,,,,474,474,0
346,,,,,,,512,512,0
347,,,,,,,494,494,0
348,,,,,,,533,533,0
349,,,,,,,487,487,0
350,,,,,,,474,474,0
351,,,,,,,512,512,0
352,,,,,,,494,494,0
