,avalanches
242,"[2, 13, 202, 598, 1013, 1567, 1531, 1611, 774, 416, 435, 601, 714, 492, 375, 549, 350, 342, 473, 993, 945, 1382, 1060, 699, 461, 425, 343, 438, 594, 981, 684, 580, 296, 444, 659, 625, 705, 987, 814, 524, 430, 1177, 1030, 732, 899, 835, 498, 535, 788, 775, 1016, 1000, 1503, 617, 75, 212, 632, 722, 1121, 724, 734, 806, 935, 1119, 1078, 1422, 2031, 1351, 1033, 983, 1099, 1767, 2235, 2068, 1848, 1597, 1809, 1668, 1990, 1969, 1630, 2420, 2402, 2214, 2077, 1989, 2225, 2948, 2645, 2496, 2058, 2203, 2639, 2641, 3075, 3190, 2819, 2761, 2695, 2855, 3110, 3550, 3440, 3361, 3106, 3039, 3442, 3842, 3724, 3335, 3305, 3487, 3876, 3714, 3600, 3370, 3766, 4117, 3820, 3618, 3418, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750, 4146, 3895, 3699, 3429, 3750]"
243,"[1, 4]"
244,"[1, 12]"
245,"[1, 17]"
246,"[1, 23]"
247,"[1, 18]"
248,"[1, 16]"
249,"[1, 1]"
250,"[1, 1]"
251,"[1, 3]"
252,"[1, 2]"
253,"[1, 1]"
254,"[1, 1]"
255,"[1, 2]"
256,"[1, 1]"
257,"[1, 1]"
258,"[1, 1]"
259,"[1, 1]"
260,"[1, 1]"
261,"[1, 1]"
262,"[1, 3]"
263,"[1, 3]"
264,"[1, 5]"
265,"[1, 6]"
266,"[1, 6]"
267,"[1, 3]"
268,"[1, 8]"
269,"[1, 6]"
270,"[1, 3]"
271,"[1, 8]"
272,"[1, 4]"
273,"[1, 1]"
274,"[1, 10]"
275,"[1, 5]"
276,"[1, 1]"
277,"[1, 7]"
278,"[1, 2]"
279,"[1, 3]"
280,"[1, 15]"
281,"[1, 4]"
282,"[1, 11]"
283,"[1, 8]"
284,"[1, 5]"
285,"[1, 12]"
286,"[1, 5]"
287,"[1, 2]"
288,"[1, 12]"
289,"[1, 7]"
290,"[1, 4]"
291,"[1, 3]"
292,"[1, 9]"
293,"[1, 10]"
294,"[1, 5]"
295,"[1, 10]"
296,"[1, 7]"
297,"[1, 10]"
298,"[1, 13]"
299,"[1, 2]"
300,"[1, 2]"
301,"[1, 1]"
302,"[1, 1]"
303,"[1, 1]"
304,"[1, 3]"
305,"[1, 2]"
306,"[1, 4]"
307,"[1, 3]"
308,"[1, 6]"
309,"[1, 5]"
310,"[1, 8]"
311,"[1, 7]"
312,"[1, 4]"
313,"[1, 4]"
314,"[1, 2]"
315,"[1, 2]"
316,"[1, 1]"
317,"[1, 1]"
318,"[1, 1]"
319,"[1, 4]"
320,"[1, 4]"
321,"[1, 4]"
322,"[1, 3]"
323,"[1, 3]"
324,"[1, 2]"
325,"[1, 2]"
326,"[1, 1]"
327,"[1, 1]"
328,"[1, 1]"
329,"[1, 1]"
330,"[1, 8]"
331,"[1, 8]"
332,"[1, 7]"
333,"[1, 7]"
334,"[1, 5]"
335,"[1, 5]"
336,"[1, 6]"
337,"[1, 4]"
338,"[1, 4]"
339,"[1, 2]"
340,"[1, 12]"
341,"[1, 12]"
342,"[1, 10]"
343,"[1, 9]"
344,"[1, 8]"
345,"[1, 9]"
346,"[1, 13]"
347,"[1, 10]"
348,"[1, 1]"
349,"[1, 1]"
350,"[1, 2]"
351,"[1, 3]"
352,"[1, 3]"
353,"[1, 5]"
354,"[1, 18]"
355,"[1, 15]"
356,"[25, 27, 53]"
357,"[1, 47, 102, 92]"
358,"[2, 24, 271, 607, 725, 717, 329]"
359,"[1, 15]"
360,"[1, 13]"
361,"[1, 11]"
362,"[1, 13]"
363,"[1, 9]"
364,"[1, 8]"
365,"[1, 3]"
366,"[1, 6]"
367,"[1, 10]"
368,"[1, 1]"
369,"[1, 9]"
370,"[1, 1]"
371,"[1, 4]"
372,"[1, 9]"
373,"[1, 5]"
374,"[1, 10]"
375,"[1, 10]"
376,"[1, 11]"
377,"[1, 12]"
378,"[1, 17]"
379,"[1, 7]"
380,"[1, 2]"
381,"[1, 3]"
382,"[1, 3]"
383,"[1, 17]"
384,"[1, 1]"
385,"[1, 1]"
386,"[1, 1]"
387,"[1, 1]"
388,"[1, 1]"
389,"[1, 1]"
390,"[1, 1]"
391,"[1, 1]"
392,"[1, 7]"
393,"[1, 2]"
394,"[1, 1]"
395,"[1, 2]"
396,"[1, 1]"
397,"[1, 3]"
398,"[1, 6]"
399,"[1, 2]"
400,"[1, 6]"
401,"[1, 2]"
402,"[1, 2]"
403,"[1, 5]"
404,"[1, 4]"
405,"[1, 10]"
406,"[1, 19]"
407,"[1, 8]"
408,"[1, 23]"
409,"[1, 1]"
410,"[1, 1]"
411,"[1, 2]"
412,"[1, 2]"
413,"[1, 1]"
414,"[1, 2]"
415,"[1, 5]"
416,"[1, 1]"
417,"[1, 1]"
418,"[1, 6]"
419,"[1, 7]"
420,"[1, 6]"
