,avalanches
421,"[25, 203, 706, 1218, 976, 1121, 143, 40, 64, 253, 488, 778, 616, 55, 130, 350, 737, 1236, 1279, 1436, 702, 471, 494, 631, 1011, 1581, 2015, 1376, 991, 809, 885, 1162, 1575, 1738, 1962, 1974, 1707, 1612, 1400, 1659, 2075, 2311, 2192, 1968, 1950, 2011, 2105, 2285, 2477, 3016, 3349, 2849, 2465, 2479, 2621, 3155, 3415, 3145, 3076, 3026, 2970, 3144, 3257, 3220, 3695, 3495, 3495, 3129, 3324, 3524, 3775, 4099, 3482, 3393, 3479, 3822, 4180, 3581, 3547, 3568, 3781, 4206, 3584, 3581, 3699, 3901, 4257, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708, 3923, 4279, 3582, 3591, 3708]"
422,"[1, 9]"
423,"[1, 13]"
424,"[1, 7]"
425,"[1, 3]"
426,"[1, 2]"
427,"[1, 10]"
428,"[1, 24]"
429,"[1, 8]"
430,"[1, 2]"
431,"[2, 20, 8]"
432,"[1, 1]"
433,"[1, 1]"
434,"[1, 1]"
435,"[1, 1]"
436,"[1, 1]"
437,"[1, 1]"
438,"[1, 1]"
439,"[1, 1]"
440,"[1, 2]"
441,"[1, 1]"
442,"[1, 1]"
443,"[1, 2]"
444,"[1, 1]"
445,"[1, 1]"
446,"[1, 1]"
447,"[1, 1]"
448,"[1, 1]"
449,"[1, 1]"
450,"[1, 1]"
451,"[1, 1]"
452,"[1, 2]"
453,"[1, 2]"
454,"[1, 1]"
455,"[1, 3]"
456,"[1, 1]"
457,"[1, 8, 5]"
458,"[22, 26, 9]"
459,"[15, 16, 9]"
460,"[12, 15, 14]"
461,"[1, 50, 107, 59]"
462,"[6, 53, 419, 836, 616, 388, 199, 41]"
463,"[1, 8]"
464,"[1, 5]"
465,"[1, 10]"
466,"[1, 6]"
467,"[1, 1]"
468,"[1, 1]"
469,"[1, 21]"
470,"[1, 7]"
471,"[1, 2]"
472,"[1, 3]"
473,"[1, 1]"
474,"[1, 14]"
475,"[1, 1]"
476,"[1, 1]"
477,"[1, 1]"
478,"[1, 1]"
479,"[1, 1]"
480,"[1, 1]"
481,"[1, 6]"
482,"[1, 2]"
483,"[1, 2]"
484,"[1, 4]"
485,"[1, 2]"
486,"[1, 3]"
487,"[1, 1]"
488,"[1, 3]"
489,"[4, 15, 33, 17]"
490,"[1, 1]"
491,"[1, 2]"
492,"[1, 1]"
493,"[1, 3]"
494,"[1, 4]"
495,"[1, 3]"
496,"[1, 5]"
497,"[1, 10]"
498,"[1, 5]"
499,"[1, 6]"
500,"[1, 9]"
501,"[1, 11]"
502,"[1, 2]"
503,"[1, 3]"
504,"[1, 4]"
505,"[1, 5]"
506,"[1, 6]"
507,"[1, 1]"
508,"[1, 1]"
509,"[1, 2]"
510,"[1, 4]"
511,"[1, 6]"
512,"[1, 9]"
513,"[1, 8]"
514,"[1, 2]"
515,"[1, 2]"
516,"[1, 1]"
517,"[1, 1]"
518,"[1, 1]"
519,"[1, 1]"
520,"[1, 1]"
521,"[1, 5]"
522,"[1, 6]"
523,"[1, 7]"
524,"[1, 4]"
525,"[1, 1]"
526,"[1, 4]"
527,"[1, 6]"
528,"[1, 8]"
529,"[1, 7]"
530,"[1, 4]"
531,"[1, 3]"
532,"[1, 6]"
533,"[1, 8]"
534,"[1, 10]"
535,"[1, 4]"
536,"[1, 1]"
537,"[1, 4]"
538,"[1, 6]"
539,"[1, 2]"
540,"[1, 2]"
541,"[1, 7]"
542,"[1, 1]"
543,"[1, 1]"
544,"[1, 1]"
545,"[1, 2]"
