,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
194,,,,,,,62,31,31
195,,,,,,,46,18,28
196,,,,,,,34,10,24
197,,,,,,,37,4,33
198,,,,,,,43,9,34
199,,,,,,,57,9,48
200,,,,,,,61,26,35
201,,,,,,,67,31,36
202,,,,,,,77,44,33
203,,,,,,,86,50,36
204,,,,,,,117,80,37
205,,,,,,,160,135,25
206,,,,,,,292,270,22
207,,,,,,,720,702,18
208,,,,,,,988,987,1
209,,,,,,,137,137,0
210,,,,,,,53,52,1
211,,,,,,,34,32,2
212,,,,,,,13,5,8
213,,,,,,,8,1,7
214,,,,,,,18,0,18
215,,,,,,,34,0,34
216,,,,,,,39,6,33
217,,,,,,,41,10,31
218,,,,,,,43,12,31
219,,,,,,,42,9,33
220,,,,,,,55,12,43
221,,,,,,,53,25,28
222,,,,,,,42,12,30
223,,,,,,,41,8,33
224,,,,,,,41,9,32
225,,,,,,,61,12,49
226,,,,,,,65,26,39
227,,,,,,,75,34,41
228,,,,,,,81,40,41
229,,,,,,,91,61,30
230,,,,,,,122,90,32
231,,,,,,,190,164,26
232,,,,,,,383,363,20
233,,,,,,,955,950,5
234,,,,,,,671,671,0
235,,,,,,,81,81,0
236,,,,,,,45,45,0
237,,,,,,,15,14,1
238,,,,,,,7,1,6
239,,,,,,,15,0,15
240,,,,,,,33,0,33
241,,,,,,,38,7,31
242,,,,,,,46,8,38
243,,,,,,,58,10,48
244,,,,,,,39,19,20
245,,,,,,,41,7,34
246,,,,,,,39,11,28
247,,,,,,,38,9,29
248,,,,,,,37,7,30
249,,,,,,,38,8,30
250,,,,,,,40,11,29
251,,,,,,,39,12,27
252,,,,,,,46,6,40
253,,,,,,,45,12,33
254,,,,,,,47,9,38
255,,,,,,,53,17,36
256,,,,,,,51,21,30
257,,,,,,,52,18,34
258,,,,,,,51,23,28
259,,,,,,,61,23,38
260,,,,,,,66,30,36
261,,,,,,,63,31,32
262,,,,,,,55,23,32
263,,,,,,,61,32,29
264,,,,,,,66,35,31
265,,,,,,,65,32,33
266,,,,,,,58,35,23
267,,,,,,,62,22,40
268,,,,,,,67,30,37
269,,,,,,,63,28,35
270,,,,,,,66,35,31
271,,,,,,,65,38,27
272,,,,,,,57,38,19
273,,,,,,,46,23,23
274,,,,,,,51,18,33
275,,,,,,,46,15,31
276,,,,,,,40,12,28
277,,,,,,,42,11,31
278,,,,,,,49,9,40
279,,,,,,,52,18,34
280,,,,,,,53,18,35
281,,,,,,,55,22,33
282,,,,,,,56,25,31
283,,,,,,,45,18,27
284,,,,,,,46,11,35
285,,,,,,,52,17,35
286,,,,,,,50,15,35
287,,,,,,,49,21,28
288,,,,,,,44,21,23
289,,,,,,,43,18,25
290,,,,,,,42,8,34
291,,,,,,,40,10,30
292,,,,,,,39,8,31
293,,,,,,,45,8,37
294,,,,,,,48,17,31
295,,,,,,,61,19,42
296,,,,,,,57,28,29
297,,,,,,,67,32,35
298,,,,,,,66,34,32
299,,,,,,,69,34,35
300,,,,,,,75,47,28
301,,,,,,,80,44,36
302,,,,,,,78,52,26
303,,,,,,,91,56,35
304,,,,,,,111,84,27
305,,,,,,,157,121,36
306,,,,,,,281,259,22
307,,,,,,,667,651,16
308,,,,,,,1017,1016,1
309,,,,,,,173,173,0
310,,,,,,,62,62,0
311,,,,,,,41,40,1
312,,,,,,,15,9,6
313,,,,,,,3,0,3
314,,,,,,,20,0,20
315,,,,,,,40,2,38
316,,,,,,,48,10,38
317,,,,,,,44,13,31
318,,,,,,,35,8,27
319,,,,,,,32,4,28
320,,,,,,,36,8,28
321,,,,,,,34,3,31
322,,,,,,,28,4,24
323,,,,,,,45,4,41
324,,,,,,,57,13,44
325,,,,,,,58,22,36
326,,,,,,,69,36,33
327,,,,,,,63,40,23
328,,,,,,,69,40,29
329,,,,,,,73,39,34
330,,,,,,,70,42,28
331,,,,,,,59,32,27
332,,,,,,,59,22,37
333,,,,,,,58,23,35
334,,,,,,,63,23,40
335,,,,,,,69,35,34
336,,,,,,,80,42,38
337,,,,,,,102,59,43
338,,,,,,,130,107,23
339,,,,,,,208,181,27
340,,,,,,,437,417,20
341,,,,,,,1017,1009,8
342,,,,,,,525,525,0
343,,,,,,,69,68,1
344,,,,,,,40,40,0
345,,,,,,,17,14,3
346,,,,,,,6,2,4
347,,,,,,,10,0,10
348,,,,,,,27,0,27
349,,,,,,,40,3,37
350,,,,,,,47,13,34
351,,,,,,,54,19,35
352,,,,,,,59,22,37
353,,,,,,,61,26,35
354,,,,,,,64,32,32
355,,,,,,,64,32,32
356,,,,,,,73,36,37
357,,,,,,,68,46,22
358,,,,,,,65,41,24
359,,,,,,,74,39,35
360,,,,,,,62,40,22
361,,,,,,,66,28,38
362,,,,,,,64,33,31
363,,,,,,,70,29,41
364,,,,,,,81,43,38
365,,,,,,,100,67,33
366,,,,,,,112,90,22
367,,,,,,,148,120,28
368,,,,,,,269,246,23
369,,,,,,,643,625,18
370,,,,,,,1025,1024,1
371,,,,,,,202,202,0
372,,,,,,,70,70,0
373,,,,,,,40,40,0
374,,,,,,,9,7,2
375,,,,,,,9,0,9
376,,,,,,,17,0,17
377,,,,,,,36,3,33
378,,,,,,,47,9,38
379,,,,,,,45,13,32
380,,,,,,,48,12,36
381,,,,,,,44,14,30
382,,,,,,,29,7,22
383,,,,,,,35,3,32
384,,,,,,,31,6,25
385,,,,,,,33,2,31
386,,,,,,,38,6,32
387,,,,,,,42,7,35
388,,,,,,,39,9,30
389,,,,,,,52,9,43
390,,,,,,,63,18,45
391,,,,,,,60,35,25
392,,,,,,,54,28,26
393,,,,,,,46,14,32
394,,,,,,,42,8,34
395,,,,,,,44,13,31
396,,,,,,,47,16,31
397,,,,,,,52,13,39
398,,,,,,,53,16,37
399,,,,,,,45,15,30
400,,,,,,,41,13,28
401,,,,,,,38,8,30
402,,,,,,,40,8,32
403,,,,,,,37,12,25
404,,,,,,,33,5,28
405,,,,,,,40,6,34
406,,,,,,,39,10,29
407,,,,,,,42,9,33
408,,,,,,,32,10,22
409,,,,,,,34,4,30
410,,,,,,,38,8,30
411,,,,,,,45,10,35
412,,,,,,,51,16,35
413,,,,,,,57,18,39
414,,,,,,,55,22,33
415,,,,,,,43,15,28
416,,,,,,,39,6,33
417,,,,,,,44,9,35
418,,,,,,,43,7,36
419,,,,,,,45,11,34
420,,,,,,,40,8,32
421,,,,,,,33,5,28
422,,,,,,,48,8,40
423,,,,,,,50,13,37
424,,,,,,,59,20,39
425,,,,,,,45,16,29
426,,,,,,,36,14,22
427,,,,,,,44,12,32
428,,,,,,,49,13,36
429,,,,,,,52,18,34
430,,,,,,,48,19,29
431,,,,,,,59,9,50
432,,,,,,,52,26,26
433,,,,,,,62,22,40
434,,,,,,,50,25,25
435,,,,,,,50,23,27
436,,,,,,,46,16,30
437,,,,,,,46,10,36
438,,,,,,,46,9,37
439,,,,,,,57,10,47
440,,,,,,,57,27,30
441,,,,,,,43,18,25
442,,,,,,,50,11,39
443,,,,,,,59,18,41
444,,,,,,,43,22,21
445,,,,,,,51,13,38
446,,,,,,,47,13,34
447,,,,,,,49,14,35
448,,,,,,,48,18,30
449,,,,,,,47,14,33
450,,,,,,,59,13,46
451,,,,,,,58,27,31
452,,,,,,,55,30,25
453,,,,,,,69,28,41
454,,,,,,,66,43,23
455,,,,,,,64,34,30
456,,,,,,,71,22,49
457,,,,,,,66,43,23
458,,,,,,,70,42,28
459,,,,,,,67,41,26
460,,,,,,,68,33,35
461,,,,,,,74,37,37
462,,,,,,,78,50,28
463,,,,,,,78,51,27
464,,,,,,,85,50,35
465,,,,,,,90,63,27
466,,,,,,,105,73,32
467,,,,,,,147,115,32
468,,,,,,,254,229,25
469,,,,,,,563,550,13
470,,,,,,,1055,1050,5
471,,,,,,,283,283,0
472,,,,,,,71,71,0
473,,,,,,,36,35,1
474,,,,,,,12,9,3
475,,,,,,,9,0,9
476,,,,,,,15,0,15
477,,,,,,,27,0,27
478,,,,,,,38,1,37
479,,,,,,,43,12,31
480,,,,,,,56,18,38
481,,,,,,,53,19,34
482,,,,,,,59,26,33
483,,,,,,,56,24,32
484,,,,,,,54,21,33
485,,,,,,,56,20,36
486,,,,,,,52,22,30
487,,,,,,,51,15,36
488,,,,,,,32,7,25
489,,,,,,,35,3,32
490,,,,,,,47,6,41
491,,,,,,,49,12,37
492,,,,,,,55,15,40
493,,,,,,,53,18,35
494,,,,,,,55,15,40
495,,,,,,,42,18,24
496,,,,,,,47,13,34
497,,,,,,,51,11,40
498,,,,,,,54,20,34
499,,,,,,,59,23,36
500,,,,,,,68,33,35
501,,,,,,,78,43,35
502,,,,,,,79,54,25
503,,,,,,,78,51,27
504,,,,,,,85,56,29
505,,,,,,,97,74,23
506,,,,,,,124,90,34
507,,,,,,,152,132,20
508,,,,,,,270,243,27
509,,,,,,,654,641,13
510,,,,,,,1008,1004,4
511,,,,,,,193,193,0
512,,,,,,,77,77,0
513,,,,,,,54,53,1
514,,,,,,,19,16,3
515,,,,,,,10,2,8
516,,,,,,,12,0,12
517,,,,,,,29,0,29
518,,,,,,,28,1,27
519,,,,,,,43,3,40
520,,,,,,,45,9,36
521,,,,,,,58,15,43
522,,,,,,,61,23,38
523,,,,,,,83,36,47
524,,,,,,,91,68,23
525,,,,,,,108,70,38
526,,,,,,,144,116,28
527,,,,,,,253,228,25
528,,,,,,,569,555,14
529,,,,,,,1047,1045,2
530,,,,,,,288,288,0
531,,,,,,,79,79,0
532,,,,,,,58,55,3
533,,,,,,,31,25,6
534,,,,,,,6,1,5
535,,,,,,,11,0,11
536,,,,,,,29,0,29
537,,,,,,,32,6,26
538,,,,,,,42,4,38
539,,,,,,,36,13,23
540,,,,,,,39,8,31
541,,,,,,,42,7,35
542,,,,,,,47,13,34
543,,,,,,,53,16,37
544,,,,,,,64,21,43
545,,,,,,,61,35,26
546,,,,,,,54,26,28
547,,,,,,,41,12,29
