,size,duration
527,8,2
528,5,2
529,2,2
530,2,2
531,6,2
532,10,2
533,10,2
534,6,2
535,7,2
536,12,2
537,12,2
538,7,2
539,2,2
540,7,2
541,12,2
542,12,2
543,7,2
544,6,2
545,11,2
546,12,2
547,7,2
548,2,2
549,5,2
550,9,2
551,11,2
552,7,2
553,2,2
554,2,2
555,2,2
556,4,2
557,7,2
558,11,2
559,8,2
560,6,2
561,2,2
562,2,2
563,5,2
564,8,2
565,8,2
566,6,2
567,5,2
568,2,2
569,5,2
570,5,2
571,6,2
572,5,2
573,4,2
574,2,2
575,2,2
576,2,2
577,3,2
578,4,2
579,3,2
580,3,2
581,2,2
582,2,2
583,2,2
584,3,2
585,2,2
586,2,2
587,2,2
588,2,2
589,2,2
590,2,2
591,2,2
592,2,2
593,5,2
594,4,2
595,9,2
596,4,2
597,8,2
598,12,2
599,3,2
600,6,2
601,2,2
602,3,2
603,2,2
604,6,2
605,5,2
606,8,2
607,7,2
608,14,2
609,10,2
610,7,2
611,15,2
612,12,2
613,9,2
614,6,2
615,4,2
616,2,2
617,16,2
618,12,2
619,9,2
620,6,2
621,3,2
622,32,3
623,39,3
624,45,3
625,47,3
626,63,3
627,1713,7
628,22,2
629,10,2
630,14,2
631,6145,9
632,23,2
633,11,2
634,8,2
635,6,2
636,11,2
637,6619,10
638,2,2
639,12,2
640,7829,11
641,21,2
642,12,2
643,10,2
644,14,2
645,6982,11
646,9,2
647,15,2
648,15,2
649,8325,12
650,2,2
651,2,2
652,2,2
653,2,2
654,2,2
655,2,2
656,2,2
657,15,2
658,6,2
659,17,2
660,5465,10
661,11,2
662,17,2
663,13,2
664,9,2
665,7,2
666,6,2
667,23,2
668,11,2
669,10,2
670,13,2
671,3,2
672,6,2
673,8,2
674,9,2
675,5,2
676,5,2
677,2,2
678,3,2
679,3,2
680,8,2
681,13,2
682,7,2
683,18,2
684,15,2
685,8,2
686,7,2
687,2,2
688,6,2
689,13,2
690,17,2
691,2,2
692,2,2
693,3532490,950
694,22,2
695,2,2
696,6,2
697,12,2
698,5,2
699,9,2
700,4,2
701,7,2
702,13,2
703,2,2
704,2,2
705,5,2
706,10,2
707,14,2
708,4,2
709,3,2
710,7,2
711,9,2
712,3,2
713,2,2
714,2,2
715,3,2
716,6,2
717,2,2
718,2,2
719,3,2
720,2,2
721,4,2
722,2,2
723,2,2
724,2,2
725,2,2
726,2,2
727,2,2
728,3,2
729,4,2
730,6,2
731,2,2
732,2,2
733,4,2
734,5,2
735,4,2
736,2,2
737,4,2
738,20,2
739,12,2
740,2,2
741,2,2
742,2,2
743,2,2
744,2,2
745,2,2
746,2,2
747,2,2
748,2,2
749,3,2
750,2,2
751,2,2
752,4,2
753,2,2
754,4,2
755,8,2
756,9,2
757,8,2
758,2,2
759,2,2
760,2,2
761,3,2
762,3,2
763,2567,7
764,5,2
765,10,2
766,3,2
767,2,2
768,5,2
769,2,2
770,2,2
771,5,2
772,3741,9
773,2,2
774,7,2
775,8,2
776,23,2
777,14,2
778,2,2
779,5554,9
780,7635,12
781,4,2
782,9,2
783,7966,11
784,3,2
785,4,2
786,17,2
787,13,2
788,21,2
789,20,2
790,16,2
791,12,2
792,7019,10
793,4,2
794,9,2
795,7326,10
796,19,2
797,7,2
798,5,2
799,3,2
800,5,2
801,4,2
802,4,2
803,2,2
804,4,2
805,3,2
806,5,2
807,6,2
808,8,2
809,10,2
810,11,2
811,15,2
812,15,2
813,7,2
814,7,2
815,5,2
816,5,2
817,37,3
818,10,2
819,7000,10
820,2,2
821,20,2
822,12,2
823,7664,12
824,6,2
825,12,2
826,12,2
827,7461,11
828,2,2
829,3,2
830,5,2
831,3,2
832,5,2
833,6,2
834,8,2
835,9,2
836,4,2
837,6,2
838,7,2
839,8,2
840,8,2
841,7,2
842,5,2
843,4,2
844,4,2
845,3,2
846,2,2
847,2,2
848,2,2
849,3,2
850,3,2
851,2,2
852,2,2
853,2,2
854,2,2
855,2,2
856,2,2
857,4,2
858,8,2
859,10,2
860,10,2
861,3,3
862,6361,11
863,8,2
864,8463,13
865,9,2
866,9,2
867,4,2
868,15,2
869,4,2
870,7,2
871,9,2
872,4,2
873,7,2
874,4,2
875,9096,12
876,2,2
877,3,2
878,3,2
879,2,2
880,4,2
881,8,2
882,9531,12
883,15,2
884,2,2
885,23,2
886,10,2
887,9,2
888,16,2
889,5,2
890,5,2
891,9,2
892,5,2
893,12,2
894,6,2
895,17,2
896,3,2
897,6,2
898,7,2
899,7,2
900,6,2
901,6,2
902,3,2
903,2,2
904,3,2
905,5,2
906,3,2
907,5,2
908,8,2
909,7,2
910,5,2
911,7,2
912,9,2
913,8,2
914,6,2
915,6,2
916,11,2
917,3,2
918,4,2
919,6,2
920,8,2
921,11,2
922,3,2
923,4,2
924,11,2
925,7,2
926,12,2
927,10,2
928,14,2
929,59798,63
930,23,2
931,9,2
932,13,2
933,8,2
934,12,2
935,7,2
936,14,2
937,18,2
938,11,2
939,9,2
940,8854,11
941,17,2
942,16,2
943,2,2
944,2,2
945,2,2
946,2,2
947,2,2
948,2,2
949,2,2
950,16,2
951,9,2
952,6,2
953,18,2
954,6,2
955,10,2
956,5,2
957,8,2
958,13,2
959,6,2
960,9,2
961,12,2
962,2,2
963,6,2
964,8,2
965,9,2
966,2,2
967,5,2
968,5,2
969,3,2
970,2,2
971,2,2
972,12,2
973,19,2
974,12,2
975,181,3
976,9,2
977,2,2
978,2,2
979,2,2
980,2,2
981,2,2
982,2,2
983,2,2
984,2,2
985,2,2
986,4,2
987,4,2
988,4,2
989,3,2
990,7,2
991,12,2
992,7,2
993,12,2
994,7,2
995,2,2
