,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
223,,,,,,,140,139,1
224,,,,,,,38,38,0
225,,,,,,,3,3,0
226,,,,,,,0,0,0
227,,,,,,,4,0,4
228,,,,,,,27,10,17
229,,,,,,,155,129,26
230,,,,,,,387,356,31
231,,,,,,,566,545,21
232,,,,,,,673,662,11
233,,,,,,,437,432,5
234,,,,,,,187,186,1
235,,,,,,,48,48,0
236,,,,,,,14,14,0
237,,,,,,,2,2,0
238,,,,,,,3,0,3
239,,,,,,,8,0,8
240,,,,,,,26,4,22
241,,,,,,,181,153,28
242,,,,,,,395,353,42
243,,,,,,,646,622,24
244,,,,,,,717,705,12
245,,,,,,,323,322,1
246,,,,,,,117,113,4
247,,,,,,,77,77,0
248,,,,,,,7,7,0
249,,,,,,,0,0,0
250,,,,,,,4,0,4
251,,,,,,,12,2,10
252,,,,,,,77,61,16
253,,,,,,,300,267,33
254,,,,,,,497,462,35
255,,,,,,,665,648,17
256,,,,,,,576,564,12
257,,,,,,,293,292,1
258,,,,,,,71,71,0
259,,,,,,,5,5,0
260,,,,,,,0,0,0
261,,,,,,,2,0,2
262,,,,,,,10,0,10
263,,,,,,,65,38,27
264,,,,,,,292,263,29
265,,,,,,,472,448,24
266,,,,,,,601,587,14
267,,,,,,,481,473,8
268,,,,,,,360,357,3
269,,,,,,,163,159,4
270,,,,,,,52,52,0
271,,,,,,,2,2,0
272,,,,,,,2,0,2
273,,,,,,,7,0,7
274,,,,,,,32,11,21
275,,,,,,,162,145,17
276,,,,,,,447,418,29
277,,,,,,,658,638,20
278,,,,,,,592,577,15
279,,,,,,,362,358,4
280,,,,,,,199,196,3
281,,,,,,,39,39,0
282,,,,,,,0,0,0
283,,,,,,,1,0,1
284,,,,,,,4,0,4
285,,,,,,,14,0,14
286,,,,,,,93,67,26
287,,,,,,,354,328,26
288,,,,,,,570,547,23
289,,,,,,,552,539,13
290,,,,,,,450,444,6
291,,,,,,,306,302,4
292,,,,,,,125,124,1
293,,,,,,,31,31,0
294,,,,,,,1,0,1
295,,,,,,,5,0,5
296,,,,,,,16,8,8
297,,,,,,,78,61,17
298,,,,,,,232,205,27
299,,,,,,,442,415,27
300,,,,,,,466,441,25
301,,,,,,,529,511,18
302,,,,,,,418,411,7
303,,,,,,,196,194,2
304,,,,,,,96,95,1
305,,,,,,,22,22,0
306,,,,,,,2,0,2
307,,,,,,,13,0,13
308,,,,,,,50,38,12
309,,,,,,,177,154,23
310,,,,,,,338,312,26
311,,,,,,,489,472,17
312,,,,,,,496,481,15
313,,,,,,,459,450,9
314,,,,,,,272,266,6
315,,,,,,,166,164,2
316,,,,,,,38,38,0
317,,,,,,,1,0,1
318,,,,,,,6,0,6
319,,,,,,,44,28,16
320,,,,,,,193,176,17
321,,,,,,,359,337,22
322,,,,,,,371,347,24
323,,,,,,,472,456,16
324,,,,,,,509,497,12
325,,,,,,,256,253,3
326,,,,,,,161,161,0
327,,,,,,,82,80,2
328,,,,,,,41,40,1
329,,,,,,,9,7,2
330,,,,,,,12,0,12
331,,,,,,,90,70,20
332,,,,,,,284,260,24
333,,,,,,,420,397,23
334,,,,,,,487,459,28
335,,,,,,,452,439,13
336,,,,,,,351,346,5
337,,,,,,,198,196,2
338,,,,,,,150,148,2
339,,,,,,,52,52,0
340,,,,,,,2,0,2
341,,,,,,,6,0,6
342,,,,,,,22,7,15
343,,,,,,,130,106,24
344,,,,,,,360,345,15
345,,,,,,,403,386,17
346,,,,,,,377,359,18
347,,,,,,,391,381,10
348,,,,,,,287,276,11
349,,,,,,,187,182,5
350,,,,,,,180,176,4
351,,,,,,,131,131,0
352,,,,,,,27,25,2
353,,,,,,,11,0,11
354,,,,,,,69,47,22
355,,,,,,,244,222,22
356,,,,,,,405,385,20
357,,,,,,,507,492,15
358,,,,,,,423,417,6
359,,,,,,,305,294,11
360,,,,,,,236,233,3
361,,,,,,,147,145,2
362,,,,,,,87,85,2
363,,,,,,,51,49,2
364,,,,,,,26,16,10
365,,,,,,,40,28,12
366,,,,,,,150,131,19
367,,,,,,,271,249,22
368,,,,,,,454,427,27
369,,,,,,,478,465,13
370,,,,,,,478,468,10
371,,,,,,,210,197,13
372,,,,,,,195,187,8
373,,,,,,,140,137,3
374,,,,,,,58,55,3
375,,,,,,,22,14,8
376,,,,,,,44,31,13
377,,,,,,,116,98,18
378,,,,,,,243,207,36
379,,,,,,,419,393,26
380,,,,,,,607,594,13
381,,,,,,,510,502,8
382,,,,,,,203,196,7
383,,,,,,,126,125,1
384,,,,,,,103,101,2
385,,,,,,,60,59,1
386,,,,,,,44,40,4
387,,,,,,,28,21,7
388,,,,,,,79,64,15
389,,,,,,,173,145,28
390,,,,,,,328,302,26
