,grid_size,height,max_distance,refractory_period,probability_of_spontaneous_activity,random_connection,spikes_total,spikes_neighbours,spikes_input
0,2500.0,6.0,3.0,7.0,0.03,False,83,0,83
1,,,,,,,62,0,62
2,,,,,,,63,0,63
3,,,,,,,71,0,71
4,,,,,,,71,0,71
5,,,,,,,70,1,69
6,,,,,,,65,0,65
7,,,,,,,68,0,68
8,,,,,,,51,0,51
9,,,,,,,63,0,63
10,,,,,,,63,0,63
11,,,,,,,54,0,54
12,,,,,,,66,0,66
13,,,,,,,60,0,60
14,,,,,,,60,0,60
15,,,,,,,65,0,65
16,,,,,,,61,0,61
17,,,,,,,73,0,73
18,,,,,,,60,0,60
19,,,,,,,60,0,60
20,,,,,,,43,0,43
21,,,,,,,54,0,54
22,,,,,,,58,1,57
23,,,,,,,57,0,57
24,,,,,,,74,0,74
25,,,,,,,52,0,52
26,,,,,,,61,0,61
27,,,,,,,60,0,60
28,,,,,,,54,0,54
29,,,,,,,60,0,60
30,,,,,,,62,0,62
31,,,,,,,52,0,52
32,,,,,,,62,0,62
33,,,,,,,64,0,64
34,,,,,,,56,0,56
35,,,,,,,65,0,65
36,,,,,,,46,0,46
37,,,,,,,64,0,64
38,,,,,,,78,0,78
39,,,,,,,72,1,71
40,,,,,,,77,0,77
41,,,,,,,72,0,72
42,,,,,,,66,0,66
43,,,,,,,52,0,52
44,,,,,,,55,0,55
45,,,,,,,56,0,56
46,,,,,,,67,0,67
47,,,,,,,64,0,64
48,,,,,,,55,0,55
49,,,,,,,69,0,69
50,,,,,,,49,2,47
51,,,,,,,60,0,60
52,,,,,,,58,0,58
53,,,,,,,51,0,51
54,,,,,,,63,0,63
55,,,,,,,69,0,69
56,,,,,,,57,0,57
57,,,,,,,67,0,67
58,,,,,,,64,0,64
59,,,,,,,58,1,57
60,,,,,,,65,0,65
61,,,,,,,52,0,52
62,,,,,,,52,0,52
63,,,,,,,65,0,65
64,,,,,,,71,0,71
65,,,,,,,53,0,53
66,,,,,,,56,0,56
67,,,,,,,47,0,47
68,,,,,,,48,0,48
69,,,,,,,63,0,63
70,,,,,,,60,0,60
71,,,,,,,50,0,50
72,,,,,,,66,0,66
73,,,,,,,64,0,64
74,,,,,,,49,0,49
75,,,,,,,59,0,59
76,,,,,,,59,0,59
77,,,,,,,62,0,62
78,,,,,,,59,0,59
79,,,,,,,73,0,73
80,,,,,,,51,0,51
81,,,,,,,46,0,46
82,,,,,,,58,0,58
83,,,,,,,68,0,68
84,,,,,,,61,0,61
85,,,,,,,56,0,56
86,,,,,,,73,0,73
87,,,,,,,54,0,54
88,,,,,,,61,0,61
89,,,,,,,59,0,59
90,,,,,,,54,0,54
91,,,,,,,59,0,59
92,,,,,,,55,0,55
93,,,,,,,55,0,55
94,,,,,,,83,0,83
95,,,,,,,57,0,57
96,,,,,,,62,0,62
97,,,,,,,59,0,59
98,,,,,,,58,0,58
99,,,,,,,60,0,60
100,,,,,,,58,0,58
101,,,,,,,60,0,60
102,,,,,,,65,0,65
103,,,,,,,56,0,56
104,,,,,,,65,0,65
105,,,,,,,66,0,66
106,,,,,,,63,0,63
107,,,,,,,51,0,51
108,,,,,,,63,0,63
109,,,,,,,56,0,56
110,,,,,,,67,0,67
111,,,,,,,64,0,64
112,,,,,,,61,0,61
113,,,,,,,48,0,48
114,,,,,,,62,0,62
115,,,,,,,48,0,48
116,,,,,,,63,0,63
117,,,,,,,73,0,73
118,,,,,,,67,0,67
119,,,,,,,56,1,55
120,,,,,,,53,0,53
121,,,,,,,57,0,57
122,,,,,,,62,3,59
123,,,,,,,53,0,53
124,,,,,,,58,0,58
125,,,,,,,54,0,54
126,,,,,,,64,0,64
127,,,,,,,65,0,65
128,,,,,,,59,0,59
129,,,,,,,67,0,67
130,,,,,,,58,0,58
131,,,,,,,51,0,51
132,,,,,,,49,0,49
133,,,,,,,58,0,58
134,,,,,,,65,0,65
135,,,,,,,56,0,56
136,,,,,,,64,0,64
137,,,,,,,54,1,53
138,,,,,,,51,0,51
139,,,,,,,55,0,55
140,,,,,,,67,0,67
141,,,,,,,73,0,73
142,,,,,,,66,0,66
143,,,,,,,67,0,67
144,,,,,,,52,0,52
145,,,,,,,66,0,66
146,,,,,,,62,0,62
147,,,,,,,56,0,56
148,,,,,,,56,0,56
149,,,,,,,62,0,62
150,,,,,,,68,0,68
151,,,,,,,61,0,61
152,,,,,,,59,0,59
153,,,,,,,61,0,61
154,,,,,,,65,0,65
155,,,,,,,56,0,56
156,,,,,,,60,0,60
157,,,,,,,43,0,43
158,,,,,,,63,0,63
159,,,,,,,53,0,53
160,,,,,,,60,0,60
161,,,,,,,62,0,62
162,,,,,,,71,0,71
163,,,,,,,76,0,76
164,,,,,,,57,0,57
165,,,,,,,60,0,60
166,,,,,,,48,0,48
167,,,,,,,55,2,53
168,,,,,,,59,0,59
169,,,,,,,65,0,65
170,,,,,,,66,0,66
171,,,,,,,51,0,51
172,,,,,,,69,0,69
173,,,,,,,58,0,58
174,,,,,,,68,0,68
175,,,,,,,66,0,66
176,,,,,,,57,0,57
177,,,,,,,52,0,52
178,,,,,,,59,0,59
179,,,,,,,52,0,52
180,,,,,,,74,0,74
181,,,,,,,71,0,71
182,,,,,,,55,0,55
183,,,,,,,64,0,64
184,,,,,,,70,0,70
185,,,,,,,71,0,71
186,,,,,,,58,0,58
187,,,,,,,67,0,67
188,,,,,,,63,0,63
189,,,,,,,55,0,55
190,,,,,,,61,0,61
191,,,,,,,77,0,77
192,,,,,,,73,0,73
193,,,,,,,62,2,60
194,,,,,,,53,0,53
195,,,,,,,52,0,52
196,,,,,,,62,0,62
197,,,,,,,82,0,82
198,,,,,,,61,0,61
199,,,,,,,61,0,61
200,,,,,,,70,0,70
201,,,,,,,60,0,60
202,,,,,,,58,0,58
203,,,,,,,60,0,60
204,,,,,,,60,0,60
205,,,,,,,55,0,55
206,,,,,,,57,0,57
207,,,,,,,56,0,56
208,,,,,,,64,0,64
209,,,,,,,58,0,58
210,,,,,,,65,0,65
211,,,,,,,62,0,62
212,,,,,,,49,0,49
213,,,,,,,70,0,70
214,,,,,,,57,0,57
215,,,,,,,66,0,66
216,,,,,,,62,0,62
217,,,,,,,61,0,61
218,,,,,,,61,0,61
219,,,,,,,60,0,60
220,,,,,,,59,0,59
221,,,,,,,50,0,50
222,,,,,,,61,0,61
223,,,,,,,64,0,64
224,,,,,,,66,0,66
225,,,,,,,74,0,74
226,,,,,,,54,0,54
227,,,,,,,67,0,67
228,,,,,,,49,1,48
229,,,,,,,61,0,61
230,,,,,,,55,0,55
231,,,,,,,74,0,74
232,,,,,,,56,0,56
233,,,,,,,72,0,72
234,,,,,,,75,0,75
235,,,,,,,60,0,60
236,,,,,,,69,0,69
237,,,,,,,62,0,62
238,,,,,,,51,0,51
239,,,,,,,45,0,45
240,,,,,,,62,0,62
241,,,,,,,52,0,52
242,,,,,,,60,0,60
243,,,,,,,52,0,52
244,,,,,,,62,0,62
245,,,,,,,57,0,57
246,,,,,,,64,0,64
247,,,,,,,63,0,63
248,,,,,,,67,0,67
249,,,,,,,58,0,58
250,,,,,,,71,0,71
251,,,,,,,68,1,67
252,,,,,,,59,0,59
253,,,,,,,63,0,63
254,,,,,,,62,0,62
255,,,,,,,55,0,55
256,,,,,,,52,0,52
257,,,,,,,58,0,58
258,,,,,,,48,0,48
259,,,,,,,66,0,66
260,,,,,,,56,0,56
261,,,,,,,67,0,67
262,,,,,,,63,0,63
263,,,,,,,72,0,72
264,,,,,,,63,0,63
265,,,,,,,51,0,51
266,,,,,,,57,0,57
267,,,,,,,58,0,58
268,,,,,,,62,0,62
269,,,,,,,67,0,67
270,,,,,,,53,0,53
271,,,,,,,69,0,69
272,,,,,,,63,0,63
273,,,,,,,66,1,65
274,,,,,,,54,0,54
275,,,,,,,51,0,51
276,,,,,,,56,0,56
277,,,,,,,65,0,65
278,,,,,,,65,2,63
279,,,,,,,68,1,67
280,,,,,,,51,0,51
281,,,,,,,51,0,51
282,,,,,,,56,0,56
283,,,,,,,59,0,59
284,,,,,,,52,0,52
285,,,,,,,55,0,55
286,,,,,,,56,0,56
287,,,,,,,57,0,57
288,,,,,,,56,0,56
289,,,,,,,64,0,64
290,,,,,,,64,0,64
291,,,,,,,54,0,54
292,,,,,,,68,0,68
293,,,,,,,64,0,64
294,,,,,,,58,0,58
295,,,,,,,58,0,58
296,,,,,,,72,0,72
297,,,,,,,63,0,63
298,,,,,,,65,3,62
299,,,,,,,64,0,64
300,,,,,,,59,0,59
301,,,,,,,57,0,57
302,,,,,,,65,0,65
303,,,,,,,67,0,67
304,,,,,,,59,0,59
305,,,,,,,55,0,55
306,,,,,,,56,0,56
307,,,,,,,64,0,64
308,,,,,,,54,0,54
309,,,,,,,64,0,64
310,,,,,,,59,0,59
311,,,,,,,56,1,55
312,,,,,,,68,0,68
313,,,,,,,73,1,72
314,,,,,,,70,0,70
315,,,,,,,68,0,68
316,,,,,,,69,0,69
317,,,,,,,59,0,59
318,,,,,,,71,0,71
319,,,,,,,52,0,52
320,,,,,,,37,0,37
321,,,,,,,54,0,54
322,,,,,,,62,0,62
323,,,,,,,59,0,59
324,,,,,,,59,0,59
325,,,,,,,61,0,61
326,,,,,,,57,0,57
327,,,,,,,77,0,77
328,,,,,,,66,0,66
329,,,,,,,51,0,51
330,,,,,,,58,0,58
331,,,,,,,70,0,70
332,,,,,,,66,0,66
333,,,,,,,66,2,64
334,,,,,,,65,0,65
335,,,,,,,57,0,57
336,,,,,,,62,0,62
337,,,,,,,80,0,80
338,,,,,,,63,0,63
339,,,,,,,58,0,58
340,,,,,,,63,0,63
341,,,,,,,59,0,59
342,,,,,,,71,0,71
343,,,,,,,59,0,59
344,,,,,,,54,0,54
345,,,,,,,58,0,58
346,,,,,,,68,0,68
347,,,,,,,57,0,57
348,,,,,,,54,0,54
349,,,,,,,56,0,56
350,,,,,,,50,0,50
351,,,,,,,59,0,59
352,,,,,,,54,0,54
353,,,,,,,62,0,62
354,,,,,,,48,0,48
355,,,,,,,69,0,69
356,,,,,,,68,0,68
357,,,,,,,55,0,55
358,,,,,,,68,0,68
359,,,,,,,53,0,53
360,,,,,,,46,0,46
361,,,,,,,62,0,62
362,,,,,,,60,0,60
363,,,,,,,67,0,67
364,,,,,,,64,0,64
365,,,,,,,56,0,56
366,,,,,,,56,0,56
367,,,,,,,61,0,61
368,,,,,,,62,0,62
369,,,,,,,38,0,38
370,,,,,,,45,0,45
371,,,,,,,61,0,61
372,,,,,,,72,2,70
373,,,,,,,66,0,66
374,,,,,,,68,0,68
375,,,,,,,64,0,64
376,,,,,,,66,0,66
377,,,,,,,71,0,71
