,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,4.0,4.0,3.0,0.02,True,46,0,46
1,,,,,,,54,3,51
2,,,,,,,51,6,45
3,,,,,,,57,2,55
4,,,,,,,53,14,39
5,,,,,,,59,4,55
6,,,,,,,66,11,55
7,,,,,,,65,21,44
8,,,,,,,54,16,38
9,,,,,,,50,7,43
10,,,,,,,44,4,40
11,,,,,,,38,6,32
12,,,,,,,48,5,43
13,,,,,,,47,8,39
14,,,,,,,49,7,42
15,,,,,,,50,5,45
16,,,,,,,49,9,40
17,,,,,,,55,7,48
18,,,,,,,64,7,57
19,,,,,,,67,17,50
20,,,,,,,51,11,40
21,,,,,,,46,4,42
22,,,,,,,42,3,39
23,,,,,,,58,2,56
24,,,,,,,43,9,34
25,,,,,,,48,4,44
26,,,,,,,49,9,40
27,,,,,,,59,5,54
28,,,,,,,53,9,44
29,,,,,,,53,6,47
30,,,,,,,54,6,48
31,,,,,,,52,7,45
32,,,,,,,49,3,46
33,,,,,,,47,2,45
34,,,,,,,55,5,50
35,,,,,,,53,11,42
36,,,,,,,37,4,33
37,,,,,,,47,0,47
38,,,,,,,58,8,50
39,,,,,,,60,6,54
40,,,,,,,56,9,47
41,,,,,,,60,11,49
42,,,,,,,76,12,64
43,,,,,,,59,19,40
44,,,,,,,51,4,47
45,,,,,,,54,8,46
46,,,,,,,40,7,33
47,,,,,,,54,3,51
48,,,,,,,48,11,37
49,,,,,,,57,4,53
50,,,,,,,58,10,48
51,,,,,,,51,6,45
52,,,,,,,55,4,51
53,,,,,,,53,10,43
54,,,,,,,44,4,40
55,,,,,,,58,4,54
56,,,,,,,45,5,40
57,,,,,,,57,2,55
58,,,,,,,61,10,51
59,,,,,,,60,12,48
60,,,,,,,61,10,51
61,,,,,,,49,11,38
62,,,,,,,45,6,39
63,,,,,,,40,5,35
64,,,,,,,46,0,46
65,,,,,,,47,5,42
66,,,,,,,54,6,48
67,,,,,,,58,4,54
68,,,,,,,58,10,48
69,,,,,,,62,9,53
70,,,,,,,67,13,54
71,,,,,,,59,17,42
72,,,,,,,54,12,42
73,,,,,,,41,9,32
74,,,,,,,36,0,36
75,,,,,,,51,2,49
76,,,,,,,53,3,50
77,,,,,,,60,5,55
78,,,,,,,59,9,50
79,,,,,,,51,11,40
80,,,,,,,42,4,38
81,,,,,,,51,5,46
82,,,,,,,51,7,44
83,,,,,,,48,4,44
84,,,,,,,47,3,44
85,,,,,,,45,7,38
86,,,,,,,49,2,47
87,,,,,,,53,6,47
88,,,,,,,52,6,46
89,,,,,,,48,6,42
90,,,,,,,40,7,33
91,,,,,,,59,3,56
92,,,,,,,50,11,39
93,,,,,,,46,5,41
94,,,,,,,45,3,42
95,,,,,,,47,4,43
96,,,,,,,41,3,38
97,,,,,,,39,2,37
98,,,,,,,39,0,39
99,,,,,,,42,0,42
100,,,,,,,47,1,46
101,,,,,,,53,4,49
102,,,,,,,60,5,55
103,,,,,,,50,14,36
104,,,,,,,49,4,45
105,,,,,,,67,9,58
106,,,,,,,48,21,27
107,,,,,,,54,4,50
108,,,,,,,57,7,50
109,,,,,,,44,6,38
110,,,,,,,43,3,40
111,,,,,,,46,3,43
112,,,,,,,47,3,44
113,,,,,,,55,3,52
114,,,,,,,56,10,46
115,,,,,,,53,8,45
116,,,,,,,48,10,38
117,,,,,,,41,2,39
118,,,,,,,43,1,42
119,,,,,,,51,3,48
120,,,,,,,52,6,46
121,,,,,,,43,6,37
122,,,,,,,46,1,45
123,,,,,,,48,4,44
124,,,,,,,54,6,48
125,,,,,,,52,3,49
126,,,,,,,33,4,29
127,,,,,,,58,3,55
128,,,,,,,53,5,48
129,,,,,,,56,3,53
130,,,,,,,46,3,43
131,,,,,,,46,7,39
132,,,,,,,42,3,39
133,,,,,,,45,3,42
134,,,,,,,42,4,38
135,,,,,,,47,2,45
136,,,,,,,46,4,42
137,,,,,,,53,10,43
138,,,,,,,57,3,54
139,,,,,,,63,13,50
140,,,,,,,58,9,49
141,,,,,,,52,8,44
142,,,,,,,49,4,45
143,,,,,,,49,7,42
144,,,,,,,49,6,43
145,,,,,,,50,2,48
