,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,6.0,3.0,0.02,False,139,90,49
1,,,,,,,1195,1173,22
2,,,,,,,1042,1042,0
3,,,,,,,119,119,0
4,,,,,,,1,1,0
5,,,,,,,0,0,0
6,,,,,,,0,0,0
7,,,,,,,0,0,0
8,,,,,,,1,0,1
9,,,,,,,63,28,35
10,,,,,,,889,853,36
11,,,,,,,1221,1215,6
12,,,,,,,314,313,1
13,,,,,,,12,12,0
14,,,,,,,0,0,0
15,,,,,,,0,0,0
16,,,,,,,0,0,0
17,,,,,,,0,0,0
18,,,,,,,14,0,14
19,,,,,,,386,353,33
20,,,,,,,1155,1131,24
21,,,,,,,761,759,2
22,,,,,,,165,165,0
23,,,,,,,19,19,0
24,,,,,,,0,0,0
25,,,,,,,0,0,0
26,,,,,,,0,0,0
27,,,,,,,8,0,8
28,,,,,,,233,208,25
29,,,,,,,911,888,23
30,,,,,,,975,970,5
31,,,,,,,339,338,1
32,,,,,,,33,33,0
33,,,,,,,1,1,0
34,,,,,,,0,0,0
35,,,,,,,0,0,0
36,,,,,,,5,0,5
37,,,,,,,142,118,24
38,,,,,,,690,664,26
39,,,,,,,1092,1080,12
40,,,,,,,548,548,0
41,,,,,,,23,23,0
42,,,,,,,0,0,0
43,,,,,,,0,0,0
44,,,,,,,1,0,1
45,,,,,,,29,28,1
46,,,,,,,119,104,15
47,,,,,,,609,577,32
48,,,,,,,1054,1045,9
49,,,,,,,575,573,2
50,,,,,,,111,111,0
51,,,,,,,2,2,0
52,,,,,,,0,0,0
53,,,,,,,0,0,0
54,,,,,,,4,0,4
55,,,,,,,121,112,9
56,,,,,,,459,430,29
57,,,,,,,1050,1035,15
58,,,,,,,678,673,5
59,,,,,,,180,180,0
60,,,,,,,8,8,0
61,,,,,,,0,0,0
62,,,,,,,0,0,0
63,,,,,,,0,0,0
64,,,,,,,14,0,14
65,,,,,,,318,292,26
66,,,,,,,934,913,21
67,,,,,,,918,913,5
68,,,,,,,283,282,1
69,,,,,,,33,33,0
70,,,,,,,0,0,0
71,,,,,,,0,0,0
72,,,,,,,0,0,0
73,,,,,,,3,0,3
74,,,,,,,88,72,16
75,,,,,,,527,506,21
76,,,,,,,941,927,14
77,,,,,,,745,741,4
78,,,,,,,196,196,0
79,,,,,,,0,0,0
80,,,,,,,0,0,0
81,,,,,,,0,0,0
82,,,,,,,3,0,3
83,,,,,,,66,54,12
84,,,,,,,348,324,24
85,,,,,,,783,766,17
86,,,,,,,775,762,13
87,,,,,,,368,363,5
88,,,,,,,141,140,1
89,,,,,,,16,16,0
90,,,,,,,0,0,0
91,,,,,,,4,0,4
92,,,,,,,92,84,8
93,,,,,,,355,341,14
94,,,,,,,710,688,22
95,,,,,,,738,732,6
96,,,,,,,334,330,4
97,,,,,,,217,214,3
98,,,,,,,50,50,0
99,,,,,,,0,0,0
100,,,,,,,1,0,1
101,,,,,,,35,28,7
102,,,,,,,235,217,18
103,,,,,,,651,632,19
104,,,,,,,718,699,19
105,,,,,,,491,485,6
106,,,,,,,249,247,2
107,,,,,,,116,116,0
108,,,,,,,4,4,0
109,,,,,,,0,0,0
110,,,,,,,5,0,5
111,,,,,,,127,108,19
112,,,,,,,519,495,24
113,,,,,,,872,858,14
114,,,,,,,600,594,6
115,,,,,,,257,252,5
116,,,,,,,115,115,0
117,,,,,,,5,5,0
118,,,,,,,1,0,1
119,,,,,,,30,28,2
120,,,,,,,136,126,10
121,,,,,,,347,327,20
122,,,,,,,655,637,18
123,,,,,,,759,747,12
124,,,,,,,444,440,4
125,,,,,,,126,126,0
126,,,,,,,2,2,0
127,,,,,,,0,0,0
128,,,,,,,3,0,3
129,,,,,,,68,59,9
130,,,,,,,284,267,17
131,,,,,,,606,594,12
132,,,,,,,712,689,23
133,,,,,,,622,619,3
134,,,,,,,191,191,0
135,,,,,,,14,14,0
136,,,,,,,0,0,0
137,,,,,,,1,0,1
138,,,,,,,30,28,2
139,,,,,,,145,130,15
140,,,,,,,465,434,31
141,,,,,,,840,825,15
142,,,,,,,705,694,11
143,,,,,,,273,273,0
144,,,,,,,41,41,0
145,,,,,,,0,0,0
146,,,,,,,0,0,0
147,,,,,,,8,0,8
148,,,,,,,149,139,10
149,,,,,,,389,374,15
150,,,,,,,693,673,20
151,,,,,,,783,775,8
152,,,,,,,425,425,0
153,,,,,,,53,53,0
154,,,,,,,0,0,0
155,,,,,,,0,0,0
156,,,,,,,4,0,4
157,,,,,,,88,79,9
158,,,,,,,347,335,12
159,,,,,,,646,626,20
160,,,,,,,836,826,10
161,,,,,,,408,407,1
162,,,,,,,147,147,0
163,,,,,,,24,24,0
164,,,,,,,0,0,0
165,,,,,,,1,0,1
166,,,,,,,40,28,12
167,,,,,,,324,310,14
168,,,,,,,590,569,21
169,,,,,,,745,733,12
170,,,,,,,474,465,9
171,,,,,,,307,306,1
172,,,,,,,19,19,0
173,,,,,,,0,0,0
174,,,,,,,1,0,1
175,,,,,,,34,28,6
176,,,,,,,158,134,24
177,,,,,,,613,595,18
178,,,,,,,858,850,8
179,,,,,,,521,513,8
180,,,,,,,264,264,0
181,,,,,,,49,49,0
182,,,,,,,2,2,0
183,,,,,,,0,0,0
184,,,,,,,2,0,2
185,,,,,,,63,56,7
186,,,,,,,320,290,30
187,,,,,,,760,743,17
188,,,,,,,687,675,12
189,,,,,,,452,450,2
190,,,,,,,209,208,1
191,,,,,,,7,7,0
192,,,,,,,0,0,0
193,,,,,,,1,0,1
194,,,,,,,35,28,7
195,,,,,,,228,213,15
196,,,,,,,657,638,19
197,,,,,,,806,792,14
198,,,,,,,506,496,10
199,,,,,,,224,224,0
200,,,,,,,43,43,0
201,,,,,,,0,0,0
202,,,,,,,1,0,1
203,,,,,,,31,28,3
204,,,,,,,162,146,16
205,,,,,,,503,486,17
206,,,,,,,855,825,30
207,,,,,,,664,656,8
208,,,,,,,236,235,1
209,,,,,,,48,48,0
210,,,,,,,0,0,0
211,,,,,,,2,0,2
212,,,,,,,37,34,3
213,,,,,,,144,137,7
214,,,,,,,347,326,21
215,,,,,,,803,787,16
216,,,,,,,808,803,5
217,,,,,,,245,244,1
218,,,,,,,94,93,1
219,,,,,,,20,20,0
220,,,,,,,0,0,0
221,,,,,,,3,0,3
222,,,,,,,83,70,13
223,,,,,,,292,269,23
224,,,,,,,672,648,24
225,,,,,,,826,817,9
226,,,,,,,458,455,3
227,,,,,,,146,146,0
228,,,,,,,20,20,0
229,,,,,,,0,0,0
230,,,,,,,2,0,2
231,,,,,,,56,50,6
232,,,,,,,244,231,13
233,,,,,,,503,483,20
