,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,6.0,5.0,3.0,0.015,True,36,0,36
1,,,,,,,51,0,51
2,,,,,,,36,0,36
3,,,,,,,20,0,20
4,,,,,,,40,0,40
5,,,,,,,45,0,45
6,,,,,,,30,0,30
7,,,,,,,30,0,30
8,,,,,,,24,0,24
9,,,,,,,28,0,28
10,,,,,,,29,0,29
11,,,,,,,32,0,32
12,,,,,,,36,0,36
13,,,,,,,29,0,29
14,,,,,,,28,0,28
15,,,,,,,41,0,41
16,,,,,,,46,0,46
17,,,,,,,25,0,25
18,,,,,,,28,0,28
19,,,,,,,27,0,27
20,,,,,,,27,0,27
21,,,,,,,23,0,23
22,,,,,,,30,0,30
23,,,,,,,32,0,32
24,,,,,,,31,0,31
25,,,,,,,39,0,39
26,,,,,,,40,0,40
27,,,,,,,40,0,40
28,,,,,,,27,0,27
29,,,,,,,32,0,32
30,,,,,,,38,0,38
31,,,,,,,34,0,34
32,,,,,,,31,0,31
33,,,,,,,45,0,45
34,,,,,,,36,0,36
35,,,,,,,27,0,27
36,,,,,,,35,0,35
37,,,,,,,35,0,35
38,,,,,,,33,0,33
39,,,,,,,26,0,26
40,,,,,,,41,0,41
41,,,,,,,34,0,34
42,,,,,,,36,0,36
43,,,,,,,30,0,30
44,,,,,,,21,0,21
45,,,,,,,26,0,26
46,,,,,,,33,0,33
47,,,,,,,36,0,36
48,,,,,,,35,0,35
49,,,,,,,38,0,38
50,,,,,,,35,0,35
51,,,,,,,28,0,28
52,,,,,,,30,0,30
53,,,,,,,43,0,43
54,,,,,,,35,0,35
55,,,,,,,42,0,42
56,,,,,,,36,0,36
57,,,,,,,21,0,21
58,,,,,,,49,0,49
59,,,,,,,32,0,32
60,,,,,,,38,0,38
61,,,,,,,42,0,42
62,,,,,,,36,0,36
63,,,,,,,39,0,39
64,,,,,,,37,0,37
65,,,,,,,30,0,30
66,,,,,,,31,0,31
67,,,,,,,38,0,38
68,,,,,,,38,0,38
69,,,,,,,35,0,35
70,,,,,,,33,0,33
71,,,,,,,27,0,27
72,,,,,,,30,0,30
73,,,,,,,49,0,49
74,,,,,,,28,0,28
75,,,,,,,30,0,30
76,,,,,,,36,0,36
77,,,,,,,35,0,35
78,,,,,,,33,0,33
79,,,,,,,23,0,23
80,,,,,,,31,0,31
81,,,,,,,37,0,37
82,,,,,,,41,0,41
83,,,,,,,31,0,31
84,,,,,,,31,0,31
85,,,,,,,38,0,38
86,,,,,,,40,0,40
87,,,,,,,48,0,48
88,,,,,,,39,0,39
89,,,,,,,40,0,40
90,,,,,,,37,0,37
91,,,,,,,42,0,42
92,,,,,,,27,0,27
93,,,,,,,31,0,31
94,,,,,,,25,0,25
95,,,,,,,44,0,44
96,,,,,,,28,0,28
97,,,,,,,31,0,31
98,,,,,,,33,0,33
99,,,,,,,38,0,38
100,,,,,,,36,0,36
101,,,,,,,35,0,35
102,,,,,,,32,0,32
103,,,,,,,39,0,39
104,,,,,,,47,0,47
105,,,,,,,37,0,37
106,,,,,,,40,0,40
107,,,,,,,38,0,38
108,,,,,,,31,0,31
109,,,,,,,47,0,47
110,,,,,,,35,0,35
111,,,,,,,27,0,27
