,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,2.0,5.0,3.0,0.02,False,56,11,45
1,,,,,,,217,175,42
2,,,,,,,675,650,25
3,,,,,,,839,829,10
4,,,,,,,491,484,7
5,,,,,,,183,183,0
6,,,,,,,35,35,0
7,,,,,,,2,1,1
8,,,,,,,3,0,3
9,,,,,,,41,18,23
10,,,,,,,206,171,35
11,,,,,,,484,447,37
12,,,,,,,711,694,17
13,,,,,,,672,665,7
14,,,,,,,300,297,3
15,,,,,,,78,77,1
16,,,,,,,6,5,1
17,,,,,,,4,0,4
18,,,,,,,11,0,11
19,,,,,,,59,23,36
20,,,,,,,300,259,41
21,,,,,,,752,719,33
22,,,,,,,818,805,13
23,,,,,,,446,442,4
24,,,,,,,100,100,0
25,,,,,,,11,11,0
26,,,,,,,2,1,1
27,,,,,,,7,0,7
28,,,,,,,29,0,29
29,,,,,,,214,188,26
30,,,,,,,517,486,31
31,,,,,,,670,649,21
32,,,,,,,652,647,5
33,,,,,,,348,345,3
34,,,,,,,63,63,0
35,,,,,,,2,0,2
36,,,,,,,2,0,2
37,,,,,,,22,0,22
38,,,,,,,119,101,18
39,,,,,,,324,282,42
40,,,,,,,620,597,23
41,,,,,,,685,669,16
42,,,,,,,445,439,6
43,,,,,,,243,242,1
44,,,,,,,41,41,0
45,,,,,,,6,0,6
46,,,,,,,29,21,8
47,,,,,,,127,105,22
48,,,,,,,265,248,17
49,,,,,,,411,379,32
50,,,,,,,533,505,28
51,,,,,,,499,488,11
52,,,,,,,350,344,6
53,,,,,,,235,232,3
54,,,,,,,55,51,4
55,,,,,,,27,20,7
56,,,,,,,75,68,7
57,,,,,,,156,139,17
58,,,,,,,285,262,23
59,,,,,,,482,456,26
60,,,,,,,568,549,19
61,,,,,,,473,467,6
62,,,,,,,288,288,0
63,,,,,,,107,104,3
64,,,,,,,52,44,8
65,,,,,,,58,49,9
66,,,,,,,124,104,20
67,,,,,,,271,253,18
68,,,,,,,436,413,23
69,,,,,,,547,522,25
70,,,,,,,535,523,12
71,,,,,,,337,337,0
72,,,,,,,135,132,3
73,,,,,,,50,47,3
74,,,,,,,18,13,5
75,,,,,,,86,72,14
76,,,,,,,208,187,21
77,,,,,,,399,370,29
78,,,,,,,589,567,22
79,,,,,,,542,532,10
80,,,,,,,345,339,6
81,,,,,,,183,182,1
82,,,,,,,104,102,2
83,,,,,,,26,23,3
84,,,,,,,9,1,8
85,,,,,,,46,31,15
86,,,,,,,178,145,33
87,,,,,,,400,374,26
88,,,,,,,663,639,24
89,,,,,,,574,562,12
90,,,,,,,415,411,4
91,,,,,,,175,174,1
92,,,,,,,38,37,1
93,,,,,,,4,2,2
94,,,,,,,14,0,14
95,,,,,,,83,59,24
96,,,,,,,334,307,27
97,,,,,,,597,567,30
98,,,,,,,594,582,12
