,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,6.0,3.0,3.0,0.02,True,44,0,44
1,,,,,,,47,0,47
2,,,,,,,57,0,57
3,,,,,,,38,0,38
4,,,,,,,47,0,47
5,,,,,,,50,0,50
6,,,,,,,39,0,39
7,,,,,,,49,0,49
8,,,,,,,59,0,59
9,,,,,,,55,0,55
10,,,,,,,42,0,42
11,,,,,,,44,0,44
12,,,,,,,51,0,51
13,,,,,,,48,0,48
14,,,,,,,59,1,58
15,,,,,,,48,1,47
16,,,,,,,63,0,63
17,,,,,,,41,0,41
18,,,,,,,35,0,35
19,,,,,,,38,0,38
20,,,,,,,46,0,46
21,,,,,,,45,0,45
22,,,,,,,55,0,55
23,,,,,,,43,0,43
24,,,,,,,40,1,39
25,,,,,,,62,0,62
26,,,,,,,43,1,42
27,,,,,,,44,0,44
28,,,,,,,39,0,39
29,,,,,,,46,0,46
30,,,,,,,46,0,46
31,,,,,,,48,0,48
32,,,,,,,47,0,47
33,,,,,,,40,0,40
34,,,,,,,48,0,48
35,,,,,,,56,0,56
36,,,,,,,55,0,55
37,,,,,,,35,0,35
38,,,,,,,47,0,47
39,,,,,,,58,0,58
40,,,,,,,48,0,48
41,,,,,,,48,0,48
42,,,,,,,40,0,40
43,,,,,,,46,0,46
44,,,,,,,42,0,42
45,,,,,,,43,0,43
46,,,,,,,58,0,58
47,,,,,,,45,0,45
48,,,,,,,46,0,46
49,,,,,,,45,0,45
50,,,,,,,40,0,40
51,,,,,,,46,0,46
52,,,,,,,51,0,51
53,,,,,,,45,0,45
54,,,,,,,44,0,44
55,,,,,,,45,0,45
56,,,,,,,51,0,51
57,,,,,,,60,0,60
58,,,,,,,47,0,47
59,,,,,,,39,0,39
60,,,,,,,48,0,48
61,,,,,,,52,0,52
62,,,,,,,53,0,53
63,,,,,,,61,0,61
64,,,,,,,44,0,44
65,,,,,,,49,0,49
66,,,,,,,44,0,44
67,,,,,,,39,0,39
68,,,,,,,41,0,41
69,,,,,,,44,0,44
70,,,,,,,47,0,47
71,,,,,,,40,0,40
72,,,,,,,52,0,52
73,,,,,,,55,0,55
74,,,,,,,41,0,41
75,,,,,,,53,0,53
76,,,,,,,42,0,42
77,,,,,,,44,0,44
78,,,,,,,54,0,54
79,,,,,,,56,0,56
80,,,,,,,46,0,46
81,,,,,,,38,0,38
