,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
222,,,,,,,489,478,11
223,,,,,,,479,461,18
224,,,,,,,644,628,16
225,,,,,,,726,719,7
226,,,,,,,575,562,13
227,,,,,,,514,503,11
228,,,,,,,594,580,14
229,,,,,,,698,686,12
230,,,,,,,596,581,15
231,,,,,,,615,605,10
232,,,,,,,522,503,19
233,,,,,,,682,667,15
234,,,,,,,586,570,16
235,,,,,,,530,508,22
236,,,,,,,698,684,14
237,,,,,,,598,581,17
238,,,,,,,607,594,13
239,,,,,,,480,460,20
240,,,,,,,619,603,16
241,,,,,,,607,590,17
242,,,,,,,595,583,12
243,,,,,,,546,528,18
244,,,,,,,602,579,23
245,,,,,,,661,646,15
246,,,,,,,633,611,22
247,,,,,,,577,567,10
248,,,,,,,601,587,14
249,,,,,,,614,600,14
250,,,,,,,631,623,8
251,,,,,,,478,465,13
252,,,,,,,555,543,12
253,,,,,,,627,611,16
254,,,,,,,602,589,13
255,,,,,,,543,529,14
256,,,,,,,531,513,18
257,,,,,,,693,674,19
258,,,,,,,644,634,10
259,,,,,,,515,501,14
260,,,,,,,571,550,21
261,,,,,,,754,737,17
262,,,,,,,593,581,12
263,,,,,,,468,451,17
264,,,,,,,522,508,14
265,,,,,,,617,598,19
266,,,,,,,691,673,18
267,,,,,,,638,616,22
268,,,,,,,586,574,12
269,,,,,,,573,557,16
270,,,,,,,609,595,14
271,,,,,,,483,468,15
272,,,,,,,481,462,19
273,,,,,,,629,612,17
274,,,,,,,702,689,13
275,,,,,,,500,490,10
276,,,,,,,410,395,15
277,,,,,,,504,482,22
278,,,,,,,806,787,19
279,,,,,,,710,702,8
280,,,,,,,392,382,10
281,,,,,,,460,436,24
282,,,,,,,794,775,19
283,,,,,,,729,709,20
284,,,,,,,444,434,10
285,,,,,,,466,445,21
286,,,,,,,645,626,19
287,,,,,,,745,733,12
288,,,,,,,521,508,13
289,,,,,,,474,463,11
290,,,,,,,644,625,19
291,,,,,,,755,741,14
292,,,,,,,589,580,9
293,,,,,,,452,439,13
294,,,,,,,650,641,9
295,,,,,,,674,647,27
296,,,,,,,696,685,11
297,,,,,,,468,453,15
298,,,,,,,545,529,16
299,,,,,,,609,591,18
300,,,,,,,613,598,15
301,,,,,,,566,555,11
302,,,,,,,517,500,17
303,,,,,,,640,626,14
304,,,,,,,726,713,13
305,,,,,,,630,622,8
306,,,,,,,448,438,10
307,,,,,,,539,528,11
308,,,,,,,674,656,18
309,,,,,,,818,806,12
310,,,,,,,580,573,7
311,,,,,,,436,419,17
312,,,,,,,588,571,17
313,,,,,,,700,682,18
314,,,,,,,707,694,13
315,,,,,,,496,486,10
316,,,,,,,514,501,13
317,,,,,,,665,646,19
318,,,,,,,668,657,11
319,,,,,,,591,578,13
320,,,,,,,602,594,8
321,,,,,,,586,569,17
322,,,,,,,657,648,9
323,,,,,,,539,527,12
324,,,,,,,601,580,21
325,,,,,,,667,651,16
326,,,,,,,708,697,11
