,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,2.0,1.0,3.0,0.025,True,74,2,72
1,,,,,,,537,488,49
2,,,,,,,1860,1857,3
3,,,,,,,103,103,0
4,,,,,,,494,493,1
5,,,,,,,1884,1881,3
6,,,,,,,122,122,0
7,,,,,,,493,493,0
8,,,,,,,1882,1881,1
9,,,,,,,125,125,0
10,,,,,,,493,493,0
11,,,,,,,1881,1881,0
12,,,,,,,126,126,0
13,,,,,,,493,493,0
14,,,,,,,1881,1881,0
15,,,,,,,126,126,0
16,,,,,,,493,493,0
17,,,,,,,1881,1881,0
18,,,,,,,126,126,0
19,,,,,,,493,493,0
20,,,,,,,1881,1881,0
21,,,,,,,126,126,0
22,,,,,,,493,493,0
23,,,,,,,1881,1881,0
24,,,,,,,126,126,0
25,,,,,,,493,493,0
26,,,,,,,1881,1881,0
27,,,,,,,126,126,0
28,,,,,,,493,493,0
29,,,,,,,1881,1881,0
30,,,,,,,126,126,0
31,,,,,,,493,493,0
32,,,,,,,1881,1881,0
33,,,,,,,126,126,0
34,,,,,,,493,493,0
35,,,,,,,1881,1881,0
36,,,,,,,126,126,0
37,,,,,,,493,493,0
38,,,,,,,1881,1881,0
39,,,,,,,126,126,0
40,,,,,,,493,493,0
41,,,,,,,1881,1881,0
42,,,,,,,126,126,0
43,,,,,,,493,493,0
44,,,,,,,1881,1881,0
45,,,,,,,126,126,0
46,,,,,,,493,493,0
47,,,,,,,1881,1881,0
48,,,,,,,126,126,0
49,,,,,,,493,493,0
50,,,,,,,1881,1881,0
51,,,,,,,126,126,0
52,,,,,,,493,493,0
53,,,,,,,1881,1881,0
54,,,,,,,126,126,0
55,,,,,,,493,493,0
56,,,,,,,1881,1881,0
57,,,,,,,126,126,0
58,,,,,,,493,493,0
59,,,,,,,1881,1881,0
60,,,,,,,126,126,0
61,,,,,,,493,493,0
62,,,,,,,1881,1881,0
63,,,,,,,126,126,0
64,,,,,,,493,493,0
65,,,,,,,1881,1881,0
66,,,,,,,126,126,0
67,,,,,,,493,493,0
68,,,,,,,1881,1881,0
69,,,,,,,126,126,0
70,,,,,,,493,493,0
71,,,,,,,1881,1881,0
72,,,,,,,126,126,0
73,,,,,,,493,493,0
74,,,,,,,1881,1881,0
75,,,,,,,126,126,0
76,,,,,,,493,493,0
77,,,,,,,1881,1881,0
78,,,,,,,126,126,0
79,,,,,,,493,493,0
80,,,,,,,1881,1881,0
81,,,,,,,126,126,0
82,,,,,,,493,493,0
83,,,,,,,1881,1881,0
84,,,,,,,126,126,0
85,,,,,,,493,493,0
86,,,,,,,1881,1881,0
87,,,,,,,126,126,0
88,,,,,,,493,493,0
89,,,,,,,1881,1881,0
90,,,,,,,126,126,0
91,,,,,,,493,493,0
92,,,,,,,1881,1881,0
93,,,,,,,126,126,0
94,,,,,,,493,493,0
95,,,,,,,1881,1881,0
96,,,,,,,126,126,0
97,,,,,,,493,493,0
98,,,,,,,1881,1881,0
99,,,,,,,126,126,0
100,,,,,,,493,493,0
101,,,,,,,1881,1881,0
102,,,,,,,126,126,0
103,,,,,,,493,493,0
104,,,,,,,1881,1881,0
105,,,,,,,126,126,0
106,,,,,,,493,493,0
107,,,,,,,1881,1881,0
108,,,,,,,126,126,0
109,,,,,,,493,493,0
110,,,,,,,1881,1881,0
111,,,,,,,126,126,0
112,,,,,,,493,493,0
113,,,,,,,1881,1881,0
114,,,,,,,126,126,0
115,,,,,,,493,493,0
116,,,,,,,1881,1881,0
117,,,,,,,126,126,0
118,,,,,,,493,493,0
119,,,,,,,1881,1881,0
120,,,,,,,126,126,0
121,,,,,,,493,493,0
122,,,,,,,1881,1881,0
123,,,,,,,126,126,0
124,,,,,,,493,493,0
125,,,,,,,1881,1881,0
126,,,,,,,126,126,0
127,,,,,,,493,493,0
128,,,,,,,1881,1881,0
129,,,,,,,126,126,0
130,,,,,,,493,493,0
131,,,,,,,1881,1881,0
132,,,,,,,126,126,0
133,,,,,,,493,493,0
134,,,,,,,1881,1881,0
135,,,,,,,126,126,0
136,,,,,,,493,493,0
137,,,,,,,1881,1881,0
138,,,,,,,126,126,0
139,,,,,,,493,493,0
140,,,,,,,1881,1881,0
141,,,,,,,126,126,0
142,,,,,,,493,493,0
143,,,,,,,1881,1881,0
144,,,,,,,126,126,0
145,,,,,,,493,493,0
146,,,,,,,1881,1881,0
147,,,,,,,126,126,0
148,,,,,,,493,493,0
149,,,,,,,1881,1881,0
150,,,,,,,126,126,0
151,,,,,,,493,493,0
152,,,,,,,1881,1881,0
153,,,,,,,126,126,0
154,,,,,,,493,493,0
155,,,,,,,1881,1881,0
156,,,,,,,126,126,0
157,,,,,,,493,493,0
158,,,,,,,1881,1881,0
159,,,,,,,126,126,0
160,,,,,,,493,493,0
161,,,,,,,1881,1881,0
162,,,,,,,126,126,0
163,,,,,,,493,493,0
164,,,,,,,1881,1881,0
165,,,,,,,126,126,0
166,,,,,,,493,493,0
167,,,,,,,1881,1881,0
168,,,,,,,126,126,0
169,,,,,,,493,493,0
170,,,,,,,1881,1881,0
171,,,,,,,126,126,0
172,,,,,,,493,493,0
173,,,,,,,1881,1881,0
174,,,,,,,126,126,0
175,,,,,,,493,493,0
176,,,,,,,1881,1881,0
177,,,,,,,126,126,0
178,,,,,,,493,493,0
179,,,,,,,1881,1881,0
180,,,,,,,126,126,0
181,,,,,,,493,493,0
182,,,,,,,1881,1881,0
183,,,,,,,126,126,0
184,,,,,,,493,493,0
185,,,,,,,1881,1881,0
186,,,,,,,126,126,0
187,,,,,,,493,493,0
188,,,,,,,1881,1881,0
189,,,,,,,126,126,0
190,,,,,,,493,493,0
191,,,,,,,1881,1881,0
192,,,,,,,126,126,0
193,,,,,,,493,493,0
194,,,,,,,1881,1881,0
195,,,,,,,126,126,0
196,,,,,,,493,493,0
197,,,,,,,1881,1881,0
198,,,,,,,126,126,0
199,,,,,,,493,493,0
200,,,,,,,1881,1881,0
201,,,,,,,126,126,0
202,,,,,,,493,493,0
203,,,,,,,1881,1881,0
204,,,,,,,126,126,0
205,,,,,,,493,493,0
206,,,,,,,1881,1881,0
207,,,,,,,126,126,0
208,,,,,,,493,493,0
209,,,,,,,1881,1881,0
210,,,,,,,126,126,0
