,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,6.0,3.0,0.025,True,178,112,66
1,,,,,,,2023,2012,11
2,,,,,,,295,295,0
3,,,,,,,0,0,0
4,,,,,,,0,0,0
5,,,,,,,0,0,0
6,,,,,,,0,0,0
7,,,,,,,0,0,0
8,,,,,,,2,0,2
9,,,,,,,103,56,47
10,,,,,,,1693,1671,22
11,,,,,,,702,702,0
12,,,,,,,0,0,0
13,,,,,,,0,0,0
14,,,,,,,0,0,0
15,,,,,,,0,0,0
16,,,,,,,1,0,1
17,,,,,,,30,28,2
18,,,,,,,748,717,31
19,,,,,,,1721,1721,0
20,,,,,,,0,0,0
21,,,,,,,0,0,0
22,,,,,,,0,0,0
23,,,,,,,0,0,0
24,,,,,,,0,0,0
25,,,,,,,2,0,2
26,,,,,,,76,56,20
27,,,,,,,1449,1421,28
28,,,,,,,973,973,0
29,,,,,,,0,0,0
30,,,,,,,0,0,0
31,,,,,,,0,0,0
32,,,,,,,0,0,0
33,,,,,,,0,0,0
34,,,,,,,6,0,6
35,,,,,,,199,163,36
36,,,,,,,2078,2069,9
37,,,,,,,217,217,0
38,,,,,,,0,0,0
39,,,,,,,0,0,0
40,,,,,,,0,0,0
41,,,,,,,0,0,0
42,,,,,,,0,0,0
43,,,,,,,7,0,7
44,,,,,,,249,189,60
45,,,,,,,2116,2111,5
46,,,,,,,128,128,0
47,,,,,,,0,0,0
48,,,,,,,0,0,0
49,,,,,,,0,0,0
50,,,,,,,0,0,0
51,,,,,,,1,0,1
52,,,,,,,35,28,7
53,,,,,,,841,808,33
54,,,,,,,1622,1622,0
55,,,,,,,1,1,0
56,,,,,,,0,0,0
57,,,,,,,0,0,0
58,,,,,,,0,0,0
59,,,,,,,0,0,0
60,,,,,,,1,0,1
61,,,,,,,58,28,30
62,,,,,,,1219,1191,28
63,,,,,,,1222,1222,0
64,,,,,,,0,0,0
65,,,,,,,0,0,0
66,,,,,,,0,0,0
67,,,,,,,0,0,0
68,,,,,,,0,0,0
69,,,,,,,0,0,0
70,,,,,,,32,0,32
71,,,,,,,795,756,39
72,,,,,,,1673,1673,0
73,,,,,,,0,0,0
74,,,,,,,0,0,0
75,,,,,,,0,0,0
76,,,,,,,0,0,0
77,,,,,,,0,0,0
78,,,,,,,0,0,0
79,,,,,,,22,0,22
80,,,,,,,585,537,48
81,,,,,,,1890,1890,0
82,,,,,,,3,3,0
83,,,,,,,0,0,0
84,,,,,,,0,0,0
85,,,,,,,0,0,0
86,,,,,,,0,0,0
87,,,,,,,0,0,0
88,,,,,,,20,0,20
89,,,,,,,541,505,36
90,,,,,,,1932,1932,0
