,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,5.0,6.0,3.0,0.02,False,47,0,47
1,,,,,,,48,0,48
2,,,,,,,50,0,50
3,,,,,,,61,0,61
4,,,,,,,38,0,38
5,,,,,,,47,0,47
6,,,,,,,44,3,41
7,,,,,,,47,0,47
8,,,,,,,46,2,44
9,,,,,,,53,0,53
10,,,,,,,44,0,44
11,,,,,,,39,0,39
12,,,,,,,51,0,51
13,,,,,,,49,0,49
14,,,,,,,44,0,44
15,,,,,,,40,0,40
16,,,,,,,48,0,48
17,,,,,,,43,0,43
18,,,,,,,42,0,42
19,,,,,,,49,4,45
20,,,,,,,36,0,36
21,,,,,,,34,0,34
22,,,,,,,45,0,45
23,,,,,,,42,0,42
24,,,,,,,58,0,58
25,,,,,,,39,0,39
26,,,,,,,46,0,46
27,,,,,,,48,0,48
28,,,,,,,38,0,38
29,,,,,,,47,0,47
30,,,,,,,41,0,41
31,,,,,,,34,0,34
32,,,,,,,46,0,46
33,,,,,,,46,0,46
34,,,,,,,48,0,48
35,,,,,,,34,1,33
36,,,,,,,50,0,50
37,,,,,,,47,0,47
38,,,,,,,39,2,37
39,,,,,,,47,0,47
40,,,,,,,41,0,41
41,,,,,,,40,0,40
42,,,,,,,47,0,47
43,,,,,,,52,0,52
44,,,,,,,52,6,46
45,,,,,,,48,3,45
46,,,,,,,51,0,51
47,,,,,,,40,0,40
48,,,,,,,41,0,41
49,,,,,,,46,0,46
50,,,,,,,36,0,36
51,,,,,,,50,0,50
52,,,,,,,53,0,53
53,,,,,,,58,0,58
54,,,,,,,51,3,48
55,,,,,,,47,1,46
56,,,,,,,40,2,38
57,,,,,,,35,0,35
58,,,,,,,35,0,35
59,,,,,,,47,0,47
60,,,,,,,46,2,44
61,,,,,,,41,2,39
62,,,,,,,41,0,41
63,,,,,,,45,0,45
64,,,,,,,44,0,44
65,,,,,,,41,0,41
66,,,,,,,39,0,39
67,,,,,,,34,0,34
68,,,,,,,65,0,65
69,,,,,,,29,0,29
70,,,,,,,43,0,43
71,,,,,,,45,0,45
72,,,,,,,46,0,46
73,,,,,,,42,2,40
74,,,,,,,38,0,38
75,,,,,,,41,0,41
76,,,,,,,35,0,35
77,,,,,,,33,0,33
78,,,,,,,50,0,50
79,,,,,,,31,0,31
80,,,,,,,46,0,46
81,,,,,,,50,4,46
82,,,,,,,36,1,35
83,,,,,,,49,0,49
84,,,,,,,39,0,39
85,,,,,,,45,0,45
86,,,,,,,39,0,39
87,,,,,,,40,0,40
88,,,,,,,30,0,30
89,,,,,,,53,0,53
90,,,,,,,55,4,51
91,,,,,,,54,0,54
92,,,,,,,41,0,41
93,,,,,,,36,0,36
94,,,,,,,34,0,34
95,,,,,,,43,0,43
96,,,,,,,39,0,39
97,,,,,,,42,2,40
98,,,,,,,42,0,42
99,,,,,,,53,0,53
100,,,,,,,32,0,32
101,,,,,,,45,0,45
102,,,,,,,48,0,48
103,,,,,,,40,0,40
104,,,,,,,41,0,41
105,,,,,,,51,0,51
106,,,,,,,34,0,34
107,,,,,,,44,0,44
108,,,,,,,48,4,44
109,,,,,,,50,6,44
110,,,,,,,37,0,37
111,,,,,,,51,0,51
112,,,,,,,51,0,51
113,,,,,,,40,0,40
114,,,,,,,33,0,33
115,,,,,,,44,0,44
116,,,,,,,37,1,36
117,,,,,,,51,0,51
118,,,,,,,50,0,50
119,,,,,,,43,0,43
120,,,,,,,40,0,40
121,,,,,,,45,0,45
122,,,,,,,43,0,43
123,,,,,,,35,0,35
124,,,,,,,42,0,42
125,,,,,,,41,0,41
126,,,,,,,47,0,47
127,,,,,,,43,0,43
128,,,,,,,36,0,36
129,,,,,,,48,0,48
130,,,,,,,40,0,40
131,,,,,,,60,6,54
132,,,,,,,45,6,39
133,,,,,,,46,0,46
134,,,,,,,43,0,43
135,,,,,,,42,0,42
136,,,,,,,36,0,36
137,,,,,,,41,0,41
138,,,,,,,32,0,32
139,,,,,,,42,0,42
140,,,,,,,49,0,49
141,,,,,,,43,1,42
142,,,,,,,50,0,50
143,,,,,,,41,0,41
144,,,,,,,54,0,54
145,,,,,,,52,1,51
146,,,,,,,43,0,43
147,,,,,,,49,0,49
148,,,,,,,46,0,46
149,,,,,,,49,0,49
150,,,,,,,47,0,47
151,,,,,,,46,0,46
152,,,,,,,42,0,42
153,,,,,,,36,0,36
154,,,,,,,53,0,53
155,,,,,,,46,0,46
156,,,,,,,45,0,45
157,,,,,,,35,0,35
158,,,,,,,45,0,45
159,,,,,,,44,0,44
160,,,,,,,58,0,58
161,,,,,,,37,0,37
162,,,,,,,46,0,46
163,,,,,,,38,0,38
164,,,,,,,44,0,44
165,,,,,,,44,0,44
166,,,,,,,45,0,45
167,,,,,,,39,0,39
168,,,,,,,38,0,38
169,,,,,,,53,0,53
170,,,,,,,48,0,48
171,,,,,,,46,1,45
172,,,,,,,41,0,41
173,,,,,,,48,0,48
174,,,,,,,38,0,38
175,,,,,,,42,0,42
176,,,,,,,51,0,51
177,,,,,,,44,0,44
178,,,,,,,44,0,44
179,,,,,,,52,0,52
180,,,,,,,54,0,54
181,,,,,,,47,0,47
182,,,,,,,50,0,50
183,,,,,,,40,0,40
184,,,,,,,40,0,40
185,,,,,,,31,0,31
186,,,,,,,33,0,33
187,,,,,,,51,0,51
188,,,,,,,40,0,40
189,,,,,,,50,0,50
190,,,,,,,51,0,51
191,,,,,,,49,0,49
192,,,,,,,43,0,43
193,,,,,,,40,0,40
194,,,,,,,37,0,37
195,,,,,,,54,0,54
196,,,,,,,39,0,39
197,,,,,,,37,0,37
198,,,,,,,44,0,44
199,,,,,,,38,0,38
200,,,,,,,40,0,40
201,,,,,,,49,0,49
202,,,,,,,44,0,44
203,,,,,,,32,0,32
204,,,,,,,41,0,41
205,,,,,,,39,0,39
206,,,,,,,36,0,36
207,,,,,,,43,0,43
208,,,,,,,33,0,33
209,,,,,,,45,0,45
210,,,,,,,32,0,32
211,,,,,,,48,0,48
212,,,,,,,55,0,55
213,,,,,,,44,0,44
214,,,,,,,44,0,44
215,,,,,,,52,0,52
216,,,,,,,41,0,41
217,,,,,,,36,0,36
218,,,,,,,32,0,32
219,,,,,,,47,0,47
220,,,,,,,42,0,42
221,,,,,,,41,0,41
222,,,,,,,42,0,42
223,,,,,,,38,1,37
224,,,,,,,46,2,44
225,,,,,,,33,0,33
226,,,,,,,48,0,48
227,,,,,,,54,0,54
228,,,,,,,33,0,33
229,,,,,,,43,0,43
230,,,,,,,58,0,58
231,,,,,,,52,0,52
232,,,,,,,49,0,49
233,,,,,,,46,0,46
234,,,,,,,46,0,46
235,,,,,,,42,0,42
236,,,,,,,40,0,40
237,,,,,,,44,0,44
238,,,,,,,48,0,48
239,,,,,,,30,0,30
240,,,,,,,43,0,43
241,,,,,,,43,0,43
242,,,,,,,47,0,47
243,,,,,,,53,0,53
244,,,,,,,36,0,36
245,,,,,,,54,0,54
246,,,,,,,32,0,32
247,,,,,,,52,0,52
248,,,,,,,27,0,27
249,,,,,,,46,0,46
250,,,,,,,42,0,42
251,,,,,,,54,0,54
252,,,,,,,46,2,44
253,,,,,,,52,0,52
254,,,,,,,52,0,52
255,,,,,,,43,1,42
256,,,,,,,42,1,41
257,,,,,,,49,0,49
