,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,6.0,2.0,3.0,0.02,False,53,0,53
1,,,,,,,43,0,43
2,,,,,,,32,0,32
3,,,,,,,46,0,46
4,,,,,,,53,0,53
5,,,,,,,55,0,55
6,,,,,,,52,0,52
7,,,,,,,50,0,50
8,,,,,,,46,0,46
9,,,,,,,47,0,47
10,,,,,,,40,0,40
11,,,,,,,50,0,50
12,,,,,,,39,0,39
13,,,,,,,60,0,60
14,,,,,,,58,0,58
15,,,,,,,45,0,45
16,,,,,,,45,0,45
17,,,,,,,46,0,46
18,,,,,,,43,0,43
19,,,,,,,32,0,32
20,,,,,,,46,0,46
21,,,,,,,50,0,50
22,,,,,,,51,0,51
23,,,,,,,55,0,55
24,,,,,,,49,0,49
25,,,,,,,43,0,43
26,,,,,,,46,0,46
27,,,,,,,44,1,43
28,,,,,,,51,0,51
29,,,,,,,36,0,36
30,,,,,,,53,0,53
31,,,,,,,44,0,44
32,,,,,,,54,0,54
33,,,,,,,41,0,41
34,,,,,,,45,0,45
35,,,,,,,52,0,52
36,,,,,,,55,0,55
37,,,,,,,48,0,48
38,,,,,,,59,2,57
39,,,,,,,42,0,42
40,,,,,,,50,0,50
41,,,,,,,40,0,40
42,,,,,,,54,0,54
43,,,,,,,48,0,48
44,,,,,,,57,0,57
45,,,,,,,33,0,33
46,,,,,,,33,0,33
47,,,,,,,37,0,37
48,,,,,,,42,0,42
49,,,,,,,39,0,39
50,,,,,,,54,0,54
51,,,,,,,35,0,35
52,,,,,,,53,0,53
53,,,,,,,42,0,42
54,,,,,,,49,0,49
55,,,,,,,45,0,45
56,,,,,,,46,0,46
57,,,,,,,38,0,38
58,,,,,,,45,0,45
59,,,,,,,47,0,47
60,,,,,,,53,0,53
61,,,,,,,46,0,46
62,,,,,,,62,0,62
63,,,,,,,55,0,55
64,,,,,,,38,0,38
65,,,,,,,49,0,49
66,,,,,,,50,0,50
67,,,,,,,40,0,40
68,,,,,,,44,0,44
69,,,,,,,56,0,56
70,,,,,,,46,0,46
71,,,,,,,45,0,45
72,,,,,,,47,0,47
73,,,,,,,39,0,39
74,,,,,,,43,0,43
75,,,,,,,44,0,44
76,,,,,,,35,0,35
77,,,,,,,47,0,47
78,,,,,,,42,0,42
79,,,,,,,36,0,36
80,,,,,,,46,0,46
81,,,,,,,49,0,49
82,,,,,,,44,0,44
83,,,,,,,69,0,69
84,,,,,,,55,1,54
85,,,,,,,47,0,47
86,,,,,,,30,0,30
87,,,,,,,37,0,37
88,,,,,,,31,0,31
89,,,,,,,49,0,49
90,,,,,,,49,0,49
91,,,,,,,64,0,64
92,,,,,,,49,0,49
93,,,,,,,38,0,38
94,,,,,,,47,0,47
95,,,,,,,43,0,43
96,,,,,,,57,0,57
97,,,,,,,39,0,39
98,,,,,,,46,0,46
99,,,,,,,41,0,41
100,,,,,,,46,0,46
101,,,,,,,28,0,28
102,,,,,,,54,0,54
103,,,,,,,44,0,44
104,,,,,,,58,0,58
105,,,,,,,44,0,44
106,,,,,,,45,0,45
107,,,,,,,51,0,51
108,,,,,,,45,0,45
109,,,,,,,54,0,54
110,,,,,,,43,0,43
111,,,,,,,47,0,47
112,,,,,,,50,0,50
113,,,,,,,40,0,40
114,,,,,,,44,0,44
115,,,,,,,56,0,56
116,,,,,,,50,0,50
117,,,,,,,41,0,41
118,,,,,,,36,0,36
119,,,,,,,49,0,49
120,,,,,,,37,0,37
121,,,,,,,46,0,46
122,,,,,,,47,0,47
123,,,,,,,52,1,51
124,,,,,,,45,0,45
125,,,,,,,41,0,41
126,,,,,,,52,0,52
127,,,,,,,42,0,42
128,,,,,,,43,0,43
129,,,,,,,44,0,44
130,,,,,,,48,0,48
131,,,,,,,41,0,41
132,,,,,,,52,0,52
133,,,,,,,54,0,54
134,,,,,,,48,0,48
135,,,,,,,49,0,49
136,,,,,,,50,0,50
137,,,,,,,31,0,31
138,,,,,,,49,0,49
139,,,,,,,43,0,43
140,,,,,,,53,0,53
141,,,,,,,38,0,38
142,,,,,,,52,0,52
143,,,,,,,42,0,42
144,,,,,,,46,0,46
145,,,,,,,54,0,54
146,,,,,,,49,0,49
147,,,,,,,54,0,54
148,,,,,,,35,0,35
149,,,,,,,45,0,45
150,,,,,,,45,0,45
151,,,,,,,49,0,49
152,,,,,,,45,0,45
153,,,,,,,53,0,53
154,,,,,,,39,0,39
155,,,,,,,50,0,50
156,,,,,,,50,0,50
157,,,,,,,50,0,50
158,,,,,,,61,0,61
159,,,,,,,52,0,52
160,,,,,,,36,0,36
161,,,,,,,56,0,56
162,,,,,,,46,0,46
163,,,,,,,52,0,52
164,,,,,,,44,0,44
165,,,,,,,46,0,46
166,,,,,,,53,0,53
167,,,,,,,47,0,47
168,,,,,,,48,0,48
169,,,,,,,66,0,66
170,,,,,,,38,0,38
171,,,,,,,56,0,56
172,,,,,,,50,0,50
173,,,,,,,38,0,38
174,,,,,,,44,0,44
175,,,,,,,52,0,52
176,,,,,,,51,0,51
177,,,,,,,56,0,56
178,,,,,,,52,0,52
179,,,,,,,40,0,40
180,,,,,,,44,0,44
181,,,,,,,50,0,50
182,,,,,,,51,0,51
183,,,,,,,34,0,34
184,,,,,,,57,0,57
185,,,,,,,56,0,56
186,,,,,,,48,0,48
187,,,,,,,45,0,45
188,,,,,,,42,0,42
189,,,,,,,39,0,39
190,,,,,,,40,0,40
191,,,,,,,45,0,45
192,,,,,,,53,0,53
193,,,,,,,37,0,37
194,,,,,,,54,0,54
195,,,,,,,39,0,39
196,,,,,,,49,0,49
197,,,,,,,52,0,52
198,,,,,,,45,0,45
199,,,,,,,55,0,55
200,,,,,,,45,0,45
201,,,,,,,59,0,59
202,,,,,,,40,0,40
203,,,,,,,50,0,50
204,,,,,,,39,0,39
205,,,,,,,44,0,44
206,,,,,,,50,0,50
207,,,,,,,58,0,58
208,,,,,,,40,0,40
209,,,,,,,61,0,61
210,,,,,,,40,0,40
211,,,,,,,61,0,61
212,,,,,,,46,0,46
213,,,,,,,56,0,56
214,,,,,,,57,0,57
215,,,,,,,46,0,46
216,,,,,,,54,0,54
217,,,,,,,51,0,51
218,,,,,,,60,1,59
219,,,,,,,49,0,49
220,,,,,,,37,0,37
221,,,,,,,36,0,36
222,,,,,,,49,0,49
223,,,,,,,43,0,43
224,,,,,,,45,0,45
225,,,,,,,39,0,39
226,,,,,,,49,0,49
227,,,,,,,44,0,44
228,,,,,,,51,0,51
229,,,,,,,53,0,53
230,,,,,,,37,0,37
231,,,,,,,44,0,44
232,,,,,,,41,0,41
233,,,,,,,44,0,44
234,,,,,,,43,0,43
235,,,,,,,61,0,61
236,,,,,,,46,0,46
237,,,,,,,55,1,54
238,,,,,,,35,0,35
239,,,,,,,39,0,39
240,,,,,,,41,0,41
241,,,,,,,48,0,48
242,,,,,,,36,0,36
243,,,,,,,53,0,53
244,,,,,,,42,0,42
245,,,,,,,51,0,51
246,,,,,,,39,0,39
247,,,,,,,42,0,42
248,,,,,,,36,0,36
249,,,,,,,49,0,49
250,,,,,,,54,0,54
251,,,,,,,51,0,51
252,,,,,,,46,0,46
253,,,,,,,49,0,49
254,,,,,,,49,0,49
255,,,,,,,44,0,44
256,,,,,,,49,0,49
257,,,,,,,42,0,42
258,,,,,,,59,0,59
259,,,,,,,49,0,49
260,,,,,,,34,0,34
261,,,,,,,50,0,50
262,,,,,,,37,0,37
263,,,,,,,44,0,44
264,,,,,,,47,0,47
265,,,,,,,42,0,42
266,,,,,,,53,0,53
267,,,,,,,52,0,52
268,,,,,,,42,0,42
269,,,,,,,43,0,43
270,,,,,,,54,0,54
271,,,,,,,57,0,57
272,,,,,,,50,0,50
273,,,,,,,43,0,43
