,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,3.0,3.0,0.015,True,138,110,28
1,,,,,,,1852,1846,6
2,,,,,,,506,506,0
3,,,,,,,0,0,0
4,,,,,,,0,0,0
5,,,,,,,1,0,1
6,,,,,,,75,28,47
7,,,,,,,1409,1393,16
8,,,,,,,1015,1015,0
9,,,,,,,0,0,0
10,,,,,,,0,0,0
11,,,,,,,0,0,0
12,,,,,,,17,0,17
13,,,,,,,468,429,39
14,,,,,,,2008,2008,0
15,,,,,,,7,7,0
16,,,,,,,0,0,0
17,,,,,,,1,0,1
18,,,,,,,37,28,9
19,,,,,,,844,827,17
20,,,,,,,1617,1617,0
21,,,,,,,1,1,0
22,,,,,,,0,0,0
23,,,,,,,1,0,1
24,,,,,,,43,28,15
25,,,,,,,958,943,15
26,,,,,,,1497,1497,0
27,,,,,,,1,1,0
28,,,,,,,0,0,0
29,,,,,,,5,0,5
30,,,,,,,148,136,12
31,,,,,,,1899,1891,8
32,,,,,,,448,448,0
33,,,,,,,0,0,0
34,,,,,,,1,0,1
35,,,,,,,28,28,0
36,,,,,,,674,650,24
37,,,,,,,1796,1796,0
38,,,,,,,1,1,0
39,,,,,,,0,0,0
40,,,,,,,0,0,0
41,,,,,,,6,0,6
42,,,,,,,191,166,25
43,,,,,,,2053,2045,8
44,,,,,,,250,250,0
45,,,,,,,0,0,0
46,,,,,,,0,0,0
47,,,,,,,1,0,1
48,,,,,,,66,28,38
49,,,,,,,1308,1293,15
50,,,,,,,1125,1125,0
51,,,,,,,0,0,0
52,,,,,,,0,0,0
53,,,,,,,4,0,4
54,,,,,,,125,110,15
55,,,,,,,1785,1768,17
56,,,,,,,586,586,0
57,,,,,,,0,0,0
58,,,,,,,0,0,0
59,,,,,,,2,0,2
60,,,,,,,72,55,17
61,,,,,,,1345,1322,23
62,,,,,,,1081,1081,0
63,,,,,,,0,0,0
64,,,,,,,0,0,0
65,,,,,,,0,0,0
66,,,,,,,17,0,17
67,,,,,,,460,426,34
68,,,,,,,2012,2012,0
69,,,,,,,11,11,0
70,,,,,,,0,0,0
71,,,,,,,0,0,0
72,,,,,,,6,0,6
73,,,,,,,186,161,25
74,,,,,,,2017,2014,3
75,,,,,,,291,291,0
76,,,,,,,0,0,0
77,,,,,,,0,0,0
78,,,,,,,3,0,3
79,,,,,,,129,83,46
80,,,,,,,1827,1814,13
81,,,,,,,541,541,0
82,,,,,,,0,0,0
83,,,,,,,0,0,0
84,,,,,,,2,0,2
85,,,,,,,89,56,33
86,,,,,,,1520,1508,12
87,,,,,,,889,889,0
88,,,,,,,0,0,0
89,,,,,,,0,0,0
90,,,,,,,2,0,2
91,,,,,,,76,56,20
92,,,,,,,1392,1381,11
93,,,,,,,1030,1030,0
94,,,,,,,0,0,0
95,,,,,,,0,0,0
96,,,,,,,3,0,3
97,,,,,,,92,82,10
98,,,,,,,1565,1549,16
99,,,,,,,840,840,0
100,,,,,,,0,0,0
101,,,,,,,0,0,0
102,,,,,,,1,0,1
103,,,,,,,48,28,20
104,,,,,,,1056,1033,23
105,,,,,,,1395,1395,0
106,,,,,,,0,0,0
107,,,,,,,0,0,0
108,,,,,,,0,0,0
