,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,1.0,6.0,3.0,0.025,False,183,101,82
1,,,,,,,1535,1516,19
2,,,,,,,745,745,0
3,,,,,,,33,33,0
4,,,,,,,0,0,0
5,,,,,,,0,0,0
6,,,,,,,0,0,0
7,,,,,,,0,0,0
8,,,,,,,3,0,3
9,,,,,,,121,84,37
10,,,,,,,951,910,41
11,,,,,,,1147,1138,9
12,,,,,,,276,276,0
13,,,,,,,2,2,0
14,,,,,,,0,0,0
15,,,,,,,0,0,0
16,,,,,,,0,0,0
17,,,,,,,2,0,2
18,,,,,,,88,56,32
19,,,,,,,790,749,41
20,,,,,,,1231,1229,2
21,,,,,,,377,376,1
22,,,,,,,12,12,0
23,,,,,,,0,0,0
24,,,,,,,0,0,0
25,,,,,,,0,0,0
26,,,,,,,4,0,4
27,,,,,,,96,79,17
28,,,,,,,520,488,32
29,,,,,,,1141,1122,19
30,,,,,,,603,600,3
31,,,,,,,136,136,0
32,,,,,,,0,0,0
33,,,,,,,0,0,0
34,,,,,,,0,0,0
35,,,,,,,3,0,3
36,,,,,,,73,61,12
37,,,,,,,371,332,39
38,,,,,,,1044,1011,33
39,,,,,,,823,819,4
40,,,,,,,175,175,0
41,,,,,,,11,11,0
42,,,,,,,0,0,0
43,,,,,,,0,0,0
44,,,,,,,2,0,2
45,,,,,,,54,43,11
46,,,,,,,374,345,29
47,,,,,,,869,850,19
48,,,,,,,806,792,14
49,,,,,,,378,377,1
50,,,,,,,17,17,0
51,,,,,,,0,0,0
52,,,,,,,0,0,0
53,,,,,,,0,0,0
54,,,,,,,6,0,6
55,,,,,,,165,134,31
56,,,,,,,806,773,33
57,,,,,,,907,893,14
58,,,,,,,532,530,2
59,,,,,,,84,84,0
60,,,,,,,0,0,0
61,,,,,,,0,0,0
62,,,,,,,0,0,0
63,,,,,,,4,0,4
64,,,,,,,104,84,20
65,,,,,,,575,550,25
66,,,,,,,809,782,27
67,,,,,,,763,755,8
68,,,,,,,238,237,1
