,grid size,height,refractory period,max distance,probability of spontaneous_activity,random connection,spikes_total,spikes_neighbours,spikes_input
0,50.0,2.0,7.0,3.0,0.025,False,59,0,59
1,,,,,,,365,289,76
2,,,,,,,1002,981,21
3,,,,,,,732,719,13
4,,,,,,,282,280,2
5,,,,,,,53,53,0
6,,,,,,,3,3,0
7,,,,,,,0,0,0
8,,,,,,,0,0,0
9,,,,,,,1,0,1
10,,,,,,,17,0,17
11,,,,,,,69,46,23
12,,,,,,,268,225,43
13,,,,,,,652,619,33
14,,,,,,,873,856,17
15,,,,,,,430,427,3
16,,,,,,,125,123,2
17,,,,,,,53,52,1
18,,,,,,,12,12,0
19,,,,,,,1,0,1
20,,,,,,,0,0,0
21,,,,,,,12,0,12
22,,,,,,,79,52,27
23,,,,,,,263,225,38
24,,,,,,,593,557,36
25,,,,,,,790,770,20
26,,,,,,,511,502,9
27,,,,,,,217,216,1
28,,,,,,,34,34,0
29,,,,,,,0,0,0
30,,,,,,,1,0,1
31,,,,,,,2,0,2
32,,,,,,,10,0,10
33,,,,,,,67,53,14
34,,,,,,,235,205,30
35,,,,,,,506,465,41
36,,,,,,,676,650,26
37,,,,,,,503,494,9
38,,,,,,,379,375,4
39,,,,,,,115,115,0
40,,,,,,,6,6,0
41,,,,,,,0,0,0
42,,,,,,,1,0,1
43,,,,,,,7,0,7
44,,,,,,,48,30,18
45,,,,,,,196,163,33
46,,,,,,,482,448,34
47,,,,,,,729,700,29
48,,,,,,,536,525,11
49,,,,,,,310,307,3
50,,,,,,,152,152,0
51,,,,,,,39,39,0
52,,,,,,,0,0,0
53,,,,,,,3,0,3
54,,,,,,,4,0,4
55,,,,,,,23,0,23
56,,,,,,,118,84,34
57,,,,,,,472,442,30
58,,,,,,,666,632,34
59,,,,,,,583,566,17
60,,,,,,,346,340,6
61,,,,,,,204,202,2
62,,,,,,,58,57,1
63,,,,,,,19,19,0
64,,,,,,,5,4,1
65,,,,,,,2,0,2
66,,,,,,,15,0,15
67,,,,,,,79,48,31
68,,,,,,,307,271,36
69,,,,,,,732,713,19
70,,,,,,,691,675,16
